Birdname,Species,Sex,Birthday,Uncertainty,Cage,Father,Mother,Date of death,Cause of death,Comment,Reserved
dJ2M1d,ZF,,11/18/2008,5,,p1r5,p15r4,1/16/2009,NE,,FALSE
dJ2M1e,ZF,,11/18/2008,5,,p1r5,p15r4,1/16/2009,NE,,FALSE
dJ2M2,ZF,,9/4/2009,0,,p10r8,o7r5,9/18/2009,NE,bird never existed,FALSE
dJ2M2Bc,ZF,,12/12/2008,3,,p4r5,o1r5,,,"bird missing, coult not find it in cage 2M2B on 6.2.2009, michael . Declared dead by andreas (13.3)",FALSE
dJ2M2c,ZF,,11/19/2008,4,,p2r5,r2y1,12/10/2008,Perished,,FALSE
dJ2M3Bc,ZF,,11/5/2008,4,,b15r5,o5r5,12/19/2008,NE,,FALSE
dJ2M3Bd,ZF,,11/5/2008,4,,b15r5,o5r5,12/19/2008,NE,,FALSE
dJ2O2g,ZF,,2/6/2009,6,,b7r5,g19r2,3/5/2009,NE,,FALSE
dJ2O3a,ZF,,2/22/2009,4,,k8r2,r5s4,4/3/2009,NE,not found in cage on 3.4.09,FALSE
dJ2O3b,ZF,,2/22/2009,4,,k8r2,r5s4,4/3/2009,NE,not found in cage on 3.4.09,FALSE
dJ2O3c,ZF,,2/22/2009,4,,k8r2,r5s4,4/3/2009,NE,not found in cage on 3.4.09,FALSE
dJ2O3f,ZF,,8/21/2009,5,2O3,purple022,g17r8,9/12/2009,NE,,FALSE
dJ2O4a,ZF,F,2/8/2009,5,,y12red,p12r4,11/9/2009,NE,"bird is missing on june 15, 2009",FALSE
dJ2O4b,ZF,,2/8/2009,5,,y12red,p12r4,3/13/2009,NE,,FALSE
dJ2O4c,ZF,,12/19/2008,6,,y12red,p12r4,2/6/2009,NE,,FALSE
dJ2O4ca,ZF,,2/8/2009,5,,y12red,p12r4,3/13/2009,NE,,FALSE
dJ2O4d,ZF,,2/8/2009,5,,y12red,p12r4,3/13/2009,NE,,FALSE
dJ2O4e,ZF,,2/8/2009,5,,y12red,p12r4,3/5/2009,NE,,FALSE
dJ2U1d,ZF,,9/15/2009,3,,p14k,r5s4,9/27/2009,NE,,FALSE
dJ2U2Bf,ZF,,1/30/2009,5,,b3r5,o7r5,3/5/2009,NE,,FALSE
dJ2U4a,ZF,,3/13/2009,2,,b6r5,r5y18,,NE,,FALSE
dJAd,BF,,10/28/2008,7,,,,11/24/2008,NE,,FALSE
dJAe,BF,,10/28/2008,7,,,,11/24/2008,NE,,FALSE
dJAf,BF,,10/28/2008,7,,,,11/24/2008,NE,,FALSE
dJAg,BF,,10/28/2008,7,,,,11/24/2008,NE,,FALSE
dJAh,BF,,10/28/2008,7,,,,11/24/2008,NE,,FALSE
dJAi,BF,,10/28/2008,7,,,,11/24/2008,NE,,FALSE
dJFJ2e,ZF,,8/21/2009,4,,k13r2,o2r5,9/8/2009,Perished,used to be JU2e,FALSE
dJFJ5b,ZF,,4/25/2009,2,,r7s5,o6r7,5/12/2009,NE,,FALSE
dJFJ5c,ZF,,4/25/2009,2,,r7s5,o6r7,5/12/2009,NE,,FALSE
dJFJ5d,ZF,,4/25/2009,2,,r7s5,o6r7,5/12/2009,NE,,FALSE
dJM1a,ZF,,5/14/2008,5,,r2s6,r2y1,6/13/2008,NE,,FALSE
dJM1Bi,ZF,,9/28/2007,2,,b13g-red11,s11p-yellow8,10/19/2007,NE,,FALSE
dJM1d,ZF,,4/4/2008,2,,r2s6,r2y1,,,,FALSE
dJM1dd,ZF,,10/2/2009,3,,b14r4,o19r5,10/28/2009,NE,bird had lost almost all of its feathers…probably a white female,FALSE
dJM1e,ZF,,5/14/2008,5,,r2s6,r2y1,6/20/2008,Perished,,FALSE
dJM1f,ZF,,6/30/2008,5,,r2s6,r2y1,8/15/2008,NE,,FALSE
dJM2Ba,ZF,,1/2/2007,2,,s18o,orange16,1/31/2007,NE,Malformed feet.,FALSE
dJM2Bb,ZF,,1/2/2007,2,,s18o,orange16,1/29/2007,NE,malformed feet.,FALSE
dJM2Bc,ZF,M,11/24/2007,5,,g7r1,orange16,1/20/2008,NE,,FALSE
dJM3b,ZF,,10/1/2007,2,,y16p-s2,o12o-r12k,10/19/2007,NE,,FALSE
dJM3Ba,ZF,,11/20/2006,3,,yellow14,green16,12/22/2006,NE,,FALSE
djM3Ba(24.4.2008),ZF,,4/17/2008,1,,yellow10,o9o10,4/24/2008,,,FALSE
djM3Bb(24.4.2008),ZF,,4/17/2008,1,,yellow10,o9o10,4/24/2008,,,FALSE
dJM3Bc,ZF,,5/4/2008,5,,yellow10,o9o10,6/20/2008,NE,,FALSE
dJM3Bd,ZF,,3/9/2008,3,,yellow10,o9o10,,,,FALSE
dJM3Be,ZF,,5/4/2008,5,,yellow10,o9o10,,,,FALSE
dJM3c,ZF,,7/4/2007,3,,y16p-s2,o12o-r12k,7/4/2007,NE,,FALSE
dJM3d,ZF,,5/15/2006,2,,red16,green12,5/25/2006,NE,Dead in the cage.,FALSE
dJM3e,ZF,,7/4/2007,3,,y16p-s2,o12o-r12k,7/4/2007,NE,,FALSE
dJM4a,ZF,,6/2/2006,0,,silver2,p6k-y8,6/9/2006,NE,,FALSE
dJM4Bg,ZF,,11/21/2006,6,,s19o,green10,12/22/2006,NE,,FALSE
dJM4c,ZF,,6/29/2009,3,,o1r1,r2y1,,,,FALSE
dJM4f,ZF,,8/7/2009,5,M4,o1r1,r2y1,9/12/2009,NE,,FALSE
dJM5a,ZF,,4/25/2009,2,,r7s5,o6r7,5/14/2009,NE,,FALSE
dJM5Bf,ZF,,2/11/2008,3,,g5r1,purple13,,,,FALSE
dJM5c,ZF,,2/13/2008,4,,g9r1,b4p-red11,,,,FALSE
dJM5d,ZF,,2/13/2008,4,,g9r1,b4p-red11,,,,FALSE
dJM6d,ZF,,10/3/2007,3,,r6p-r9k,red5,11/22/2007,NE,,FALSE
dJM6e,ZF,,10/3/2007,3,,r6p-r9k,red5,10/27/2007,NE,,FALSE
dJM6f,ZF,,6/25/2008,4,,silver15,o8p-y8,,,,FALSE
dJM7a,ZF,,11/17/2006,0,,orange3,red5,11/30/2006,NE,dead in nest,FALSE
dJM7b,ZF,,11/17/2006,0,,orange3,red5,11/30/2006,NE,dead in nest,FALSE
dJM7Ba,ZF,,6/1/2008,3,,r3s3,k12r2,6/13/2008,NE,,FALSE
dJM7Bf,ZF,,6/1/2008,6,,r3s3,k12r2,6/23/2008,NE,,FALSE
dJM7d,ZF,F,8/19/2009,3,,r011,o8r5,11/6/2009,NE,,FALSE
dJM7e,ZF,F,8/19/2009,3,,r011,o8r5,11/6/2009,NE,,FALSE
dJO1f,ZF,,3/24/2006,0,,purple20,purple13,4/28/2006,NE,,FALSE
dJO2e,ZF,,11/7/2007,4,,yellow1,green12,6/19/2008,NE,,FALSE
dJO3a,ZF,,2/16/2008,0,,p9r1,g7r2,2/22/2008,NE,,FALSE
dJO3c,ZF,,6/13/2006,0,,red14,red2,6/16/2006,NE,,FALSE
dJO3e,ZF,,6/13/2006,2,,red14,red2,6/16/2006,NE,,FALSE
dJO3f,ZF,,5/30/2009,4,,r5y11,p15r5,7/10/2009,NE,,FALSE
dJO4aa,ZF,,10/23/2008,2,,b7r3,p20r3,11/1/2008,NE,,FALSE
dJO4Ba,ZF,,5/6/2008,0,,o19r2,r2s20,,,,FALSE
dJO4Bb,ZF,,7/19/2008,0,,o19r2,r2s20,8/13/2008,NE,,FALSE
dJO4bc,ZF,,10/23/2008,2,,b7r3,p20r3,11/1/2008,NE,,FALSE
dJO5a,ZF,,5/11/2006,0,,r12k-ch900,g4k,5/19/2005,NE,,FALSE
dJO5aa,ZF,,9/10/2009,1,,o8r8,k5r2,9/18/2009,NE,bird never existed,FALSE
dJO5b,ZF,,9/22/2006,1,,r12k-ch900,g4k,9/27/2006,NE,,FALSE
dJO5ba,ZF,,9/10/2009,1,,o8r8,k5r2,9/18/2009,NE,bird never existed,FALSE
dJO6a,ZF,,7/10/2009,1,,b7r7,r6s10,,,,FALSE
dJO6e,ZF,,9/15/2009,4,,b7r7,r6s10,11/1/2009,NE,"Not found in cage on 01.Nov.2009, presumed to be dead. - janie",FALSE
dJO7b,ZF,,9/9/2009,3,,purple050,o18r7,9/18/2009,NE,died,FALSE
dJO7c,ZF,,6/22/2009,5,,b6r5,r7y4,6/29/2009,NE,,FALSE
dJO7ca,ZF,,9/9/2009,3,,purple050,o18r7,9/18/2009,NE,bird died.,FALSE
dJO7d,ZF,,6/22/2009,5,,b6r5,r7y4,6/29/2009,NE,,FALSE
dJO7da,ZF,,9/9/2009,3,,purple050,o18r7,9/18/2009,NE,bird never existed,FALSE
dJO7e,ZF,,6/22/2009,5,,b6r5,r7y4,6/29/2009,NE,,FALSE
DJsubsong,ZF,M,5/27/2007,3,,goldch900,purple17,7/17/2007,End of Exp.,,FALSE
DJsubsong2,ZF,M,6/11/2007,3,,yellow1,green12,7/28/2007,Perished,,FALSE
dJU1c,ZF,,5/29/2008,3,,p16p-r11,green10,6/13/2008,NE,,FALSE
dJU1d,ZF,,7/7/2008,3,,p16p-r11,green10,8/13/2008,NE,,FALSE
dJU1f,ZF,,1/6/2009,4,,red11,b7br-b3k,2/11/2009,NE,,FALSE
dJU1fa,ZF,,10/17/2008,5,,red11,b7br-b3k,11/1/2008,NE,,FALSE
dJU1g,ZF,,1/6/2009,4,,red11,b7br-b3k,6/25/2009,NE,"bird is missing, could not find it in cage U1 on 6.2.2009, michael. Not found, presumed dead. (-janie, 25.june.2009)",FALSE
dJU2Ba,ZF,,12/19/2008,0,,yellow20,o6r4,,,,FALSE
dJU2Bc,ZF,,6/30/2007,1,,r3p-r19o,r16o-r11,7/6/2007,NE,,FALSE
dJU2c,ZF,,5/18/2009,3,,k13r2,o2r5,5/30/2009,NE,bird probably never existed,FALSE
dJU2c2,ZF,,7/1/2009,3,,k13r2,o2r5,7/17/2009,,,FALSE
dJU2d,ZF,,6/9/2008,3,,b14r3,r1y17,8/11/2008,NE,,FALSE
dJU2fa,ZF,,9/26/2008,0,,b14r3,r1y17,11/1/2008,NE,,FALSE
dJU3Ba,ZF,,4/16/2008,5,,r3p-r19o,s11p-yellow8,4/28/2008,NE,found dead on floor,FALSE
dJU3Bb,ZF,,4/16/2008,5,,r3p-r19o,s11p-yellow8,4/28/2008,NE,found dead on floor,FALSE
dJU3Bc,ZF,,4/16/2008,5,,r3p-r19o,s11p-yellow8,4/28/2008,NE,found dead on floor,FALSE
dJU3Bd,ZF,,6/11/2007,4,,b11o-p11k,g9b-o4k,7/6/2007,NE,,FALSE
dJU3Bd2,ZF,,4/16/2008,5,,r3p-r19o,s11p-yellow8,4/28/2008,NE,found dead on floor,FALSE
dJU3Be,ZF,,4/16/2008,5,,r3p-r19o,s11p-yellow8,4/28/2008,NE,found dead on floor,FALSE
dJU3c,ZF,,3/4/2007,1,,silverblack,blue3,3/10/2007,NE,,FALSE
dJU3d,ZF,,3/4/2007,0,,silverblack,blue3,3/10/2007,NE,,FALSE
dJU3e,ZF,,3/4/2007,0,,silverblack,blue3,3/10/2007,NE,,FALSE
dJU3f,ZF,,9/18/2006,3,,red11,purple8,10/19/2006,NE,,FALSE
dJU3k,ZF,,8/28/2007,0,,s17o,green10,9/20/2007,NE,,FALSE
dJU4b,ZF,,6/25/2007,3,,p14k-p2,purple8,7/6/2007,NE,,FALSE
dJU5a,ZF,,12/8/2006,3,,yellow20,blue2,12/15/2006,NE,,FALSE
dJU5b,ZF,,7/20/2007,0,,s2b-y8,r8p-s19o,,,,FALSE
dJU5Be,ZF,,12/30/2007,4,,g6r1,p14b-r16,,,,FALSE
dJU5d,ZF,,7/15/2009,3,,p2s2,b7br-b3k,,,this bird never existed,FALSE
dJU6a,ZF,,4/11/2007,3,,o20o-ch900,r12o-o4k,5/8/2007,NE,Moritz: was baddly picked by father - separated from parents.,FALSE
dJU6b,ZF,,7/1/2009,2,,p3r6,r5y18,7/17/2009,NE,,FALSE
dJU6Be,ZF,,6/26/2008,7,,g12r2,p10r2,10/17/2008,NE,,FALSE
dJU6c,ZF,M,7/14/2006,2,,y13k-s17,p19k-o3,9/1/2006,NE,,FALSE
dJU6e,ZF,,4/11/2009,4,,y16p-s2,o8r5,,,,FALSE
dJU7a,ZF,,7/15/2009,1,,r5y14,r7y1,,,,FALSE
dJU7c,ZF,,10/2/2007,2,,r12p-y7o,o8p-y8,10/10/2007,NE,,FALSE
dJZZ2b,ZF,,10/10/2007,2,,g1o-g14k,g15p-purple20,11/12/2007,NE,,FALSE
dneJ2O2e,ZF,,,4,,,,,,,FALSE
dneJM2Bd,ZF,,,4,,,,,,,FALSE
dummy,ZF,,7/1/2009,4,,o11r8,o19r5,,,,FALSE
dummy2,ZF,,7/30/2009,0,,o12r8,r7y2,,,,FALSE
g10o-g14k,ZF,M,7/21/2006,4,,g14k,orange16,3/22/2007,End of Exp.,,FALSE
g10p-s19o,ZF,F,11/21/2006,2,,s19o,green10,2/16/2007,Given away,Given Away to Marianne,FALSE
g10r1,ZF,M,7/18/2007,5,,s17o,green10,10/26/2007,End of Exp.,,FALSE
g10r10,ZF,M,8/19/2009,3,KM,r011,o8r5,,,,FALSE
g10r2,ZF,M,9/28/2007,2,,b13g-red11,s11p-yellow8,5/29/2008,End of Exp.,,FALSE
g10r3,ZF,M,2/12/2008,5,,o20o,r16o-r11,5/26/2008,End of Exp.,,FALSE
g10r4,ZF,M,6/25/2008,4,,silver15,o8p-y8,12/9/2008,End of Exp.,,FALSE
g10r5,ZF,F,7/7/2008,7,,g8r1,k10r2,3/20/2009,NE,possibly 10 days of uncertainty - slipped through into next cage,FALSE
g10r7,ZF,M,12/5/2008,5,,p5r5,r2s18,3/25/2009,End of Exp.,,FALSE
g10r8,ZF,M,3/28/2009,3,,r6y10,b15r6,6/9/2009,End of Exp.,Reserved for Patrick,FALSE
g11o-g14k,ZF,M,7/21/2006,4,,g14k,orange16,12/6/2006,End of Exp.,,FALSE
g11p-s19o,ZF,M,11/21/2006,2,,s19o,green10,1/19/2007,End of Exp.,,FALSE
g11r1,ZF,F,7/18/2007,5,,s17o,green10,11/1/2007,Given away,Given away to Johanna,FALSE
g11r2,ZF,M,9/28/2007,0,,yellow20,blue2,12/14/2007,End of Exp.,,FALSE
g11r3,ZF,M,2/5/2008,4,,o1r1,r7g-yellow8,5/16/2008,End of Exp.,tried to record from auditory neurons in ovoidalis. Didn't find any. Did burns.,FALSE
g11r4,ZF,M,6/25/2008,4,,silver15,o8p-y8,12/10/2008,Surgery,,FALSE
g11r5,ZF,F,8/7/2008,4,,b14r3,r1y17,1/9/2009,NE,,FALSE
g11r6,ZF,F,11/16/2008,3,,b11r5,g18k-y6,3/20/2009,NE,,FALSE
g11r7,ZF,F,12/19/2008,2,,g13p-purple20,p14b-r16,3/20/2009,NE,,FALSE
g11r8,ZF,F,3/27/2009,3,,g4r6,r6s4,7/31/2009,End of Exp.,,FALSE
g12k-y8,ZF,F,11/14/2005,0,,yellow8,,11/15/2006,End of Exp.,Used as show girl.,FALSE
g12o-g14k,ZF,M,7/21/2006,4,,g14k,orange16,11/16/2006,End of Exp.,,FALSE
g12p-s19o,ZF,M,11/21/2006,6,,s19o,green10,3/2/2007,End of Exp.,,FALSE
g12r1,ZF,M,7/18/2007,5,,s17o,green10,10/23/2007,End of Exp.,,FALSE
g12r2,ZF,M,11/17/2007,3,2U3,y7o-r16,purple16,,,,FALSE
g12r3,ZF,F,2/5/2008,4,,o1r1,r7g-yellow8,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
g12r4,ZF,M,6/25/2008,4,,silver15,o8p-y8,12/9/2008,End of Exp.,,FALSE
g12r5,ZF,F,8/7/2008,4,,b14r3,r1y17,11/13/2008,End of Exp.,,FALSE
g12r6,ZF,M,12/1/2008,5,,g12r2,r8p-s19o,2/10/2009,End of Exp.,,FALSE
g12r7,ZF,M,1/17/2009,5,,b9r5,o8p-y8,5/21/2009,End of Exp.,,FALSE
g12r8,ZF,F,3/27/2009,3,KU,g4r6,r6s4,,,9.11.2009 (AK): didn't find bird in KU,FALSE
g13o-g14k,ZF,F,7/21/2006,4,,g14k,orange16,10/1/2007,NE,,FALSE
g13p-purple20,ZF,M,12/31/2006,3,,purple20,purple13,6/18/2009,End of Exp.,reserved for michael,FALSE
g13r1,ZF,F,7/1/2007,7,,orange3,r9p-s19o,11/1/2007,Given away,Given away to Johanna,FALSE
g13r2,ZF,F,10/11/2007,5,,s17o,green10,9/3/2008,NE,,FALSE
g13r3,ZF,F,2/5/2008,4,,o1r1,r7g-yellow8,5/8/2008,End of Exp.,,FALSE
g13r4,ZF,M,6/26/2008,7,,g12r2,p10r2,10/21/2008,End of Exp.,,FALSE
g13r5,ZF,M,8/7/2008,4,,b14r3,r1y17,9/10/2008,End of Exp.,,FALSE
g13r6,ZF,F,12/1/2008,5,,g12r2,r8p-s19o,3/20/2009,NE,,FALSE
g13r7,ZF,F,12/21/2008,3,,s17o,r7g-yellow8,3/20/2009,NE,,FALSE
g13r8,ZF,M,9/17/2008,3,2M1,s3k-y8,p10r2,,,"reringed : formerly know as r5s14. michael, 22. juni 2009",FALSE
g14k,ZF,M,,0,,,,6/1/2007,End of Exp.,good song.,FALSE
g14o-g14k,ZF,M,7/21/2006,4,,g14k,orange16,12/18/2006,End of Exp.,,FALSE
g14p-p20,ZF,F,12/31/2006,3,,purple20,purple13,4/25/2007,End of Exp.,,FALSE
g14r1,ZF,M,7/1/2007,7,,orange3,r9p-s19o,9/24/2007,End of Exp.,,FALSE
g14r10,ZF,F,8/21/2009,4,,purple022,g17r8,11/6/2009,NE,,FALSE
g14r2,ZF,F,10/11/2007,5,,s17o,green10,2/27/2008,Perished,,FALSE
g14r3,ZF,F,2/5/2008,4,,o1r1,r7g-yellow8,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
g14r4,ZF,M,6/26/2008,7,,g12r2,p10r2,11/3/2009,End of Exp.,"Georg, Reserved by Claude for HVC Stim.",TRUE
g14r5,ZF,M,10/10/2008,4,,y16p-s2,blue2,6/3/2009,End of Exp.,reserved for michael,FALSE
g14r6,ZF,M,12/1/2008,5,,g12r2,r8p-s19o,2/20/2009,End of Exp.,,FALSE
g14r7,ZF,,12/21/2008,3,,s17o,r7g-yellow8,3/20/2009,NE,,FALSE
g14r8,ZF,M,4/27/2009,3,,b16r6,o13r5,7/16/2009,End of Exp.,,FALSE
g15o-r14,ZF,M,7/26/2006,0,,red14,red2,10/6/2006,End of Exp.,,FALSE
g15p-purple20,ZF,F,12/31/2006,3,,purple20,purple13,8/21/2008,NE,euthanized,FALSE
g15r1,ZF,M,7/1/2007,7,,orange3,r9p-s19o,10/18/2007,End of Exp.,,FALSE
g15r10,ZF,M,8/21/2009,4,KM,purple022,g17r8,,,Daniele,TRUE
g15r2,ZF,M,10/11/2007,5,,s17o,green10,4/24/2008,End of Exp.,,FALSE
g15r3,ZF,M,3/6/2008,3,,g8r2,b11r2,6/17/2008,End of Exp.,,FALSE
g15r4,ZF,M,6/9/2008,3,,b14r3,r1y17,10/14/2008,End of Exp.,,FALSE
g15r5,ZF,M,10/9/2008,7,,,,1/20/2009,End of Exp.,"origin of bird unclear, age approximately right",FALSE
g15r6,ZF,M,12/1/2008,5,,g12r2,r8p-s19o,5/5/2009,Surgery,,FALSE
g15r7,ZF,,12/21/2008,3,,s17o,r7g-yellow8,3/20/2009,NE,,FALSE
g15r8,ZF,F,4/27/2009,3,U5,b16r6,o13r5,,,,FALSE
g16k,ZF,F,,0,,,,11/1/2007,Given away,Given away to Johanna,FALSE
g16o-r14,ZF,F,7/26/2006,0,,red14,red2,10/6/2006,NE,,FALSE
g16p-yellow1,ZF,M,1/12/2007,3,,yellow1,p19k-o3,5/9/2007,,end of experiment,FALSE
g16r1,ZF,M,7/1/2007,7,,orange3,r9p-s19o,10/15/2007,End of Exp.,,FALSE
g16r10,ZF,M,8/21/2009,4,KM,purple022,g17r8,,,Daniele,TRUE
g16r2,ZF,M,10/11/2007,5,,s17o,green10,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
g16r3,ZF,M,3/6/2008,3,,g8r2,b11r2,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
g16r4,ZF,F,6/9/2008,3,,b14r3,r1y17,8/21/2008,NE,euthanized,FALSE
g16r5,ZF,F,10/10/2008,4,,y16p-s2,blue2,1/9/2009,NE,,FALSE
g16r6,ZF,M,12/1/2008,5,,g12r2,r8p-s19o,2/14/2009,End of Exp.,,FALSE
g16r7,ZF,F,12/20/2008,7,,p2r5,r2y1,3/20/2009,NE,,FALSE
g16r8,ZF,F,4/27/2009,1,,b16r6,o13r5,11/6/2009,NE,,FALSE
g17k-p2,ZF,M,1/2/2006,0,,purple2,,7/14/2006,End of Exp.,,FALSE
g17o-r14,ZF,M,7/26/2006,0,,red14,red2,10/11/2006,End of Exp.,,FALSE
g17p-yellow1,ZF,F,1/12/2007,3,,yellow1,p19k-o3,6/12/2007,Surgery,,FALSE
g17r1,ZF,F,7/1/2007,7,,orange3,r9p-s19o,11/1/2007,Given away,Given away to Johanna,FALSE
g17r10,ZF,M,8/21/2009,4,KM,purple022,g17r8,,,,FALSE
g17r2,ZF,M,10/11/2007,5,,s17o,green10,6/9/2008,Given away,Reserverd by Claude!!!  Sing A-B-C-C. Given away to Johanna on 09.06.08,FALSE
g17r3,ZF,F,3/6/2008,3,,g8r2,b11r2,8/21/2008,NE,euthanized,FALSE
g17r4,ZF,F,6/9/2008,3,,b14r3,r1y17,8/21/2008,NE,euthanized,FALSE
g17r5,ZF,M,10/10/2008,4,,y16p-s2,blue2,2/19/2009,End of Exp.,,FALSE
g17r6,ZF,F,11/23/2008,3,,p17r2,b13r4,3/20/2009,NE,,FALSE
g17r7,ZF,F,12/25/2008,0,,b7r5,g19r2,3/20/2009,NE,,FALSE
g17r8,ZF,M,5/9/2009,0,2O3,b10r5,r2b-o3,,,,FALSE
g18k-y6,ZF,F,1/5/2006,0,,yellow6,,3/20/2009,NE,,FALSE
g18o-r14,ZF,F,7/26/2006,0,,red14,red2,10/6/2006,NE,,FALSE
g18p-yellow1,ZF,,1/12/2007,3,,yellow1,p19k-o3,2/20/2007,End of Exp.,,FALSE
g18r1,ZF,M,7/1/2007,7,,orange3,r9p-s19o,12/26/2007,End of Exp.,,FALSE
g18r10,ZF,M,8/21/2009,4,KM,purple022,g17r8,,,,FALSE
g18r2,ZF,M,10/11/2007,5,,s17o,green10,6/30/2008,End of Exp.,,FALSE
g18r3,ZF,M,3/9/2008,3,,yellow10,o9o10,5/22/2008,End of Exp.,,FALSE
g18r4,ZF,F,6/9/2008,0,,r2s4,y8o-r16,8/21/2008,NE,euthanized,FALSE
g18r5,ZF,M,10/10/2008,4,,y16p-s2,blue2,5/9/2009,End of Exp.,,FALSE
g18r6,ZF,M,11/23/2008,3,,p17r2,b13r4,4/6/2009,End of Exp.,,FALSE
g18r7,ZF,M,12/20/2008,7,,p2r5,r2y1,6/25/2009,NE,"Not found in KM on 20 June 2009. - Janie. Not found, presumed dead. (-janie, 25.june.2009)",FALSE
g18r8,ZF,M,7/1/2009,4,,b14r4,o19r5,9/14/2009,,Josh,FALSE
g19o-silver2,ZF,M,8/14/2006,2,,silver2,p6k-y8,3/27/2007,End of Exp.,Reserved by Claude.,FALSE
g19p-purple20,ZF,M,12/31/2006,3,,purple20,purple13,6/4/2007,End of Exp.,,FALSE
g19r1,ZF,F,7/17/2007,5,,red16,g18k-y6,11/1/2007,Given away,Given away to Johanna,FALSE
g19r10,ZF,F,8/26/2009,1,R7,b14r3,r6s13,,,Michel. DOR - 3.Nov.2009. Isotenic acid control. Used at age < 75 dph.,TRUE
g19r2,ZF,F,10/27/2007,5,O3,b8o-p11k,s13p-yellow8,,,,FALSE
g19r3,ZF,M,3/9/2008,3,,yellow10,o9o10,6/9/2008,Given away,sleeps on his back in your hand! Really cute! Moritz Given away to Johanna on 09.06.08,FALSE
g19r4,ZF,F,6/17/2008,2,,k7r1,r14w-silver17,8/21/2008,NE,euthanized,FALSE
g19r5,BF,,9/15/2008,1,A,v-v10,K-K-K209-15,,,,FALSE
g19r6,ZF,F,11/23/2008,3,,p17r2,b13r4,3/20/2009,NE,,FALSE
g19r7,ZF,M,12/20/2008,7,,p2r5,r2y1,5/26/2009,End of Exp.,,FALSE
g19r8,ZF,M,4/30/2009,0,U1,,,10/1/2009,NE,Bought from Qualipet on 31 Aug. 2009. Estimated age.,FALSE
g1k,ZF,F,,0,,,,7/24/2007,Given away,"Had three times only ONE generation of offspring, Given away to Johanna",FALSE
g1o-g14k,ZF,M,3/26/2006,0,,g14k,orange16,7/25/2008,End of Exp.,,FALSE
g1p-sb,ZF,M,3/29/2007,5,,silverblack,blue3,8/9/2007,Surgery,,FALSE
g1r1,ZF,M,,.,,,,9/20/2007,NE,bought from Qualipet Glattzentrum on 17.07.07. Georg.,FALSE
g1r10,ZF,F,8/29/2009,4,FJ3,r7p1,p13r5,,,used to be JU1c,FALSE
g1r2,ZF,F,10/5/2007,4,,g3r1,purple8,12/11/2007,End of Exp.,,FALSE
g1r3,ZF,M,3/3/2008,5,,g13p-purple20,r8p-s19o,11/2/2009,End of Exp.,Right-Cochlear removed by Claude.,FALSE
g1r4,ZF,F,3/12/2008,1,,p16p-r11,green10,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
g1r5,ZF,M,7/23/2008,2,,r3s3,k12r2,10/14/2008,End of Exp.,,FALSE
g1r6,ZF,F,11/16/2008,2,,k2r2,p9r2,,,,FALSE
g1r7,ZF,M,12/27/2008,6,,r5y19,o19r5,4/2/2009,End of Exp.,,FALSE
g1r8,ZF,F,4/6/2009,1,,r5y15,r5s2,5/29/2009,NE,,FALSE
g20o-ch900,ZF,M,3/23/2006,0,,goldch900,silver1,1/27/2007,End of Exp.,Sleep most of time after bilateral lesion.,FALSE
g20p-s17o,ZF,F,12/8/2006,0,,s17o,s8k-p11k,2/16/2007,Given away,Given Away to Marianne,FALSE
g20r1,ZF,F,8/4/2007,1,,silvergreen8,green16,11/1/2007,Given away,Given away to Johanna,FALSE
g20r10,ZF,F,8/26/2009,1,MK,b14r3,r6s13,,,,FALSE
g20r2,ZF,F,10/27/2007,5,,b8o-p11k,s13p-yellow8,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
g20r3,ZF,M,3/9/2008,3,,yellow10,o9o10,7/19/2008,End of Exp.,,FALSE
g20r5,ZF,M,6/17/2008,2,,k7r1,r14w-silver17,6/16/2009,End of Exp.,,FALSE
g20r6,ZF,F,11/23/2008,3,KU,p17r2,b13r4,,,9.11.2009 (AK): didn't find bird in KU,FALSE
g20r7,ZF,M,12/20/2008,7,,p2r5,r2y1,5/26/2009,End of Exp.,,FALSE
g20r8,ZF,M,4/30/2009,0,E8,,,,,Bought from Qualipet on 31 Aug. 2009. Estimated age.,FALSE
g2o-r16,ZF,M,5/15/2006,2,,red16,green12,6/19/2006,End of Exp.,,FALSE
g2p-sb,ZF,M,3/29/2007,5,,silverblack,blue3,7/25/2007,End of Exp.,,FALSE
g2r1,ZF,M,,0,,,,1/12/2009,NE,bought from Qualipet Glattzentrum on 17.07.07. Georg. Strangled himself on a piece of string in cage.,FALSE
g2r10,ZF,M,8/29/2009,4,E10,r7p1,p13r5,,,used to be JU1d,FALSE
g2r2,ZF,F,10/5/2007,4,,g3r1,purple8,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
g2r3,ZF,F,2/11/2008,3,,g5r1,purple13,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
g2r4,ZF,F,4/10/2008,5,,o1r1,r7g-yellow8,8/21/2008,NE,euthanized,FALSE
g2r5,ZF,F,7/23/2008,2,U4,r3s3,k12r2,,,,FALSE
