ID,Birdname,Species,Sex,Birthday,Uncertainty,Cage,Father,Mother,Date of death,Cause of death,Comment,Reserved
1233,p8o-g14k,ZF,m,2006-06-13,0,,g14k,orange16,2009-06-25,NE,"Reserved by Claude. did not find bird during KM/KO search. Claude. Not found, presumed dead. (-janie, 25.june.2009).",0
1836,y4o-wang,ZF,m,2006-06-13,0,,red14,red2,2007-05-17,Perished,"Bird escaped from cage, raised in MK. Unknown father actually.",0
1703,s1o-r16,ZF,m,2006-06-24,1,,red16,green12,2006-11-27,End of Exp.,left HVC burned. @67phd,0
1713,s2o-r16,ZF,m,2006-06-24,1,,red16,green12,2006-10-31,End of Exp.,,0
1717,s3o-r16,ZF,m,2006-06-24,1,,red16,green12,2006-09-15,End of Exp.,,0
57,b14o-sb,ZF,m,2006-06-26,0,,silverblack,purple17,2006-09-07,End of Exp.,Pipette fell off possibly due to lack of insect pin.,0
70,b15o-sb,ZF,f,2006-06-26,0,,silverblack,purple17,2006-10-06,NE,,0
1800,y10o-r11,ZF,f,2006-06-26,0,,red11,purple8,2006-10-06,NE,,0
1802,y11o-r11,ZF,f,2006-06-26,0,,red11,purple8,2006-10-06,NE,,0
83,b16o-sb,ZF,f,2006-06-27,0,,silverblack,purple17,2006-10-06,NE,,0
117,b19o-sb,ZF,f,2006-06-27,0,,silverblack,purple17,2006-10-06,NE,,0
1722,s4o-r16,ZF,f,2006-06-27,0,,red16,green12,2006-12-05,NE,,0
1725,s5o-r16,ZF,f,2006-06-27,0,,red16,green12,2006-10-06,NE,,0
1730,s6o-r16,ZF,f,2006-06-27,0,,red16,green12,2006-10-06,NE,,0
1804,y12o-r11,ZF,f,2006-06-27,0,,red11,purple8,2007-02-16,Given away,Given Away to Marianne,0
1808,y13o-r11,ZF,f,2006-06-27,0,,red11,purple8,2006-10-06,NE,,0
561,g5o-p20,ZF,f,2006-06-30,0,,purple20,purple13,2006-11-17,NE,as compagnion,0
1,974,ZF,m,2006-07-01,0,A-UL,,,,,Breeder. Left behing by Sandra. Good singer. Use as Tutor,0
1016,o7o-p20,ZF,f,2006-07-10,0,,purple20,purple13,2006-09-21,End of Exp.,Test surgery for locating the DM.,0
384,dJU6c,ZF,m,2006-07-14,2,,y13k-s17,p19k-o3,2006-09-01,NE,,0
912,o18o-y13k,ZF,f,2006-07-14,2,,y13k-s17,p19k-o3,2007-02-16,Given away,Given Away to Marianne,0
923,o19o-y13k,ZF,f,2006-07-14,2,,y13k-s17,p19k-o3,2006-10-06,NE,,1
1734,s7o-p11k,ZF,m,2006-07-17,3,,p11k-ch900,g16k,2006-09-24,End of Exp.,,0
1738,s8o-p11k,ZF,m,2006-07-17,3,,p11k-ch900,g16k,2007-05-11,End of Exp.,"had somethimg which lookes like an epileptic seizure, when I ringed him.",0
1743,s9o-p11k,ZF,m,2006-07-17,3,,p11k-ch900,g16k,2006-11-14,End of Exp.,,0
1812,y14o-p11k,ZF,m,2006-07-17,3,,p11k-ch900,g16k,2006-09-29,End of Exp.,,0
1814,y15o-p11k,ZF,f,2006-07-17,3,,p11k-ch900,g16k,2006-10-06,NE,,0
1817,y16o-p11k,ZF,f,2006-07-17,3,,p11k-ch900,g16k,2006-10-06,NE,,0
393,g10o-g14k,ZF,m,2006-07-21,4,,g14k,orange16,2007-03-22,End of Exp.,,0
403,g11o-g14k,ZF,m,2006-07-21,4,,g14k,orange16,2006-12-06,End of Exp.,,0
414,g12o-g14k,ZF,m,2006-07-21,4,,g14k,orange16,2006-11-16,End of Exp.,,0
424,g13o-g14k,ZF,f,2006-07-21,4,,g14k,orange16,2007-10-01,NE,,0
435,g14o-g14k,ZF,m,2006-07-21,4,,g14k,orange16,2006-12-18,End of Exp.,,0
446,g15o-r14,ZF,m,2006-07-26,0,,red14,red2,2006-10-06,End of Exp.,,0
458,g16o-r14,ZF,f,2006-07-26,0,,red14,red2,2006-10-06,NE,,0
470,g17o-r14,ZF,m,2006-07-26,0,,red14,red2,2006-10-11,End of Exp.,,0
482,g18o-r14,ZF,f,2006-07-26,0,,red14,red2,2006-10-06,NE,,0
856,o13o-y8,ZF,f,2006-07-26,0,,yellow8,g5k,2006-11-27,End of Exp.,,0
868,o14o-y8,ZF,f,2006-07-26,0,,yellow8,g5k,2006-10-06,NE,,0
879,o15o-y8,ZF,f,2006-07-26,0,,yellow8,g5k,2006-10-06,NE,,0
891,o16o-y8,ZF,f,2006-07-26,0,,yellow8,g5k,2006-10-06,NE,,0
903,o17o-y8,ZF,f,2006-07-26,0,,yellow8,g5k,2006-10-06,NE,,0
1264,r10o-o4k,ZF,f,2006-08-02,5,,o4k-p2,green13,2007-02-16,Given away,Given Away to Marianne,0
1285,r11o-o4k,ZF,f,2006-08-02,5,,o4k-p2,green13,2009-03-20,NE,long beak on 13.11.08,0
1289,r12o-o4k,ZF,f,2006-08-02,5,,o4k-p2,green13,2009-06-25,NE,"not in U1 - missing. Not found, presumed dead. (-janie, 25.june.2009).",0
1291,r13o-o4k,ZF,m,2006-08-02,5,,o4k-p2,green13,2006-12-13,End of Exp.,,0
1294,r14o-o4k,ZF,f,2006-08-02,5,,o4k-p2,green13,2008-06-09,Given away,Given away to Johanna on 09.06.08,0
1052,p10o-s3k,ZF,m,2006-08-07,0,,s3k-y8,g1k,2007-02-09,End of Exp.,,0
1107,p15o-s3k,ZF,m,2006-08-07,0,,s3k-y8,g1k,2007-11-13,End of Exp.,Reserved by Claude. Don't use !!!,0
1117,p16o-s3k,ZF,m,2006-08-07,0,,s3k-y8,g1k,2008-07-21,NE,swollen feet. Looks very bad!!,0
1297,r15o-r11c,ZF,f,2006-08-07,2,,red11,purple8,2006-11-22,End of Exp.,,0
1299,r16o-r11,ZF,f,2006-08-07,2,,red11,purple8,2009-03-20,NE,,0
1302,r17o-r11,ZF,m,2006-08-07,2,,red11,purple8,2006-12-21,End of Exp.,,0
1304,r18o-r11,ZF,f,2006-08-07,2,,red11,purple8,2007-02-16,Given away,Given Away to Marianne,0
1307,r19o-r11,ZF,m,2006-08-07,2,,red11,purple8,2007-05-31,End of Exp.,,0
1667,s10o-sb,ZF,m,2006-08-07,7,,silverblack,purple17,2006-11-02,End of Exp.,,0
1672,s11o-sb,ZF,f,2006-08-07,7,KU,silverblack,purple17,,,,0
1676,s12o-sb,ZF,f,2006-08-07,7,,silverblack,purple17,2007-02-16,Given away,Given Away to Marianne,0
1679,s13o-sb,ZF,m,2006-08-07,7,,silverblack,purple17,2006-11-17,End of Exp.,,0
1682,s14o-sb,ZF,f,2006-08-07,7,,silverblack,purple17,2007-02-16,Given away,Given Away to Marianne,0
817,o10o-r12k,ZF,m,2006-08-11,3,,r12k-ch900,g4k,2006-12-15,Surgery,tried acut UVA. No success. Bird dead,0
831,o11o-r12k,ZF,m,2006-08-11,3,,r12k-ch900,g4k,2007-06-06,End of Exp.,,0
843,o12o-r12k,ZF,f,2006-08-11,3,,r12k-ch900,g4k,2007-11-30,NE,"sick, thick feet (ring too tight). Killed by injection.",0
1064,p11o-r9k,ZF,f,2006-08-11,2,,r9k-s17,p8k,2007-02-16,Given away,Born in the small food box. Given Away to Marianne,0
1074,p12o-r9k,ZF,m,2006-08-11,2,,r9k-s17,p8k,2008-01-03,End of Exp.,Born in the small food box.,0
1084,p13o-r9k,ZF,f,2006-08-11,2,,r9k-s17,p8k,2007-02-16,Given away,Born in the small food box. Given Away to Marianne,0
1097,p14o-r9k,ZF,m,2006-08-11,2,,r9k-s17,p8k,2007-02-09,End of Exp.,Born in the small food box.,0
105,b18o-silver2,ZF,f,2006-08-14,2,,silver2,p6k-y8,2006-11-10,Surgery,,0
493,g19o-silver2,ZF,m,2006-08-14,2,,silver2,p6k-y8,2007-03-27,End of Exp.,Reserved by Claude.,0
1128,p17o-silver2,ZF,m,2006-08-14,2,,silver2,p6k-y8,2007-06-14,,,0
1702,s1b-y8,ZF,m,2006-09-04,4,,yellow8,g5k,2006-12-18,End of Exp.,,0
1711,s2b-y8,ZF,m,2006-09-04,4,,yellow8,g5k,2007-12-13,NE,,0
1715,s3b-y8,ZF,f,2006-09-04,4,,yellow8,g5k,2007-02-16,Given away,Given Away to Marianne,0
1720,s4b-y8,ZF,m,2006-09-04,4,,yellow8,g5k,2007-01-11,End of Exp.,,0
1094,p14b-r16,ZF,f,2006-09-08,3,,red16,green12,2009-03-20,NE,,0
1137,p18o-r16,ZF,f,2006-09-08,3,,red16,green12,2007-02-16,Given away,Given Away to Marianne,0
1234,p8o-r16,ZF,f,2006-09-08,3,,red16,green12,2006-12-19,End of Exp.,,0
1245,p9o-r16,ZF,m,2006-09-08,3,,red16,green12,2006-11-27,End of Exp.,,0
1821,y18o-r16,ZF,f,2006-09-08,3,,red16,green12,2007-02-16,Given away,Given Away to Marianne,0
1823,y19o-r16,ZF,f,2006-09-08,3,,red16,green12,2007-02-16,Given away,Given Away to Marianne,0
374,dJU3f,ZF,u,2006-09-18,3,,red11,purple8,2006-10-19,NE,,0
1801,y10p-r11,ZF,m,2006-09-18,3,,red11,purple8,2007-03-06,End of Exp.,Hexode Microdrive,0
1803,y11p-r11,ZF,f,2006-09-18,3,,red11,purple8,2007-02-16,Given away,Given Away to Marianne,0
1805,y12p-r11,ZF,m,2006-09-18,3,,red11,purple8,2007-04-15,End of Exp.,,0
1809,y13p-r11,ZF,m,2006-09-18,3,,red11,purple8,2007-03-01,End of Exp.,,0
1813,y14p-r11,ZF,m,2006-09-18,3,,red11,purple8,2007-02-26,End of Exp.,,0
342,dJO5b,ZF,u,2006-09-22,1,,r12k-ch900,g4k,2006-09-27,NE,,0
595,g8b-o4k,ZF,m,2006-09-22,0,,o4k-p2,green13,2006-12-05,End of Exp.,,0
606,g9b-o4k,ZF,f,2006-09-22,0,,o4k-p2,green13,2007-11-01,Given away,Given away to Johanna,0
1819,y17o-r12k,ZF,f,2006-09-22,0,,r12k-ch900,g4k,2007-02-16,Given away,Given Away to Marianne,0
1815,y15p-s2,ZF,m,2006-09-27,0,,Silver2,p6k-y8,2007-05-17,End of Exp.,,0
1818,y16p-s2,ZF,m,2006-09-27,0,,Silver2,p6k-y8,2009-07-28,End of Exp.,Reserved for Janie.,0
1820,y17p-s2,ZF,f,2006-09-27,0,,Silver2,p6k-y8,2007-02-16,Given away,Given Away to Marianne,0
1822,y18p-s2,ZF,m,2006-09-27,0,,Silver2,p6k-y8,2007-05-16,End of Exp.,,0
1849,y9p-y20,ZF,f,2006-10-09,0,,yellow20,blue2,2006-12-12,End of Exp.,,0
1309,r1b-o3,ZF,f,2006-10-10,2,,orange3,red5,2007-05-21,End of Exp.,,0
1351,r2b-o3,ZF,f,2006-10-10,2,,orange3,red5,,,Bird supposed to be in 2U2 but not there. Daniele 10.07.2009,0
1655,r9b-o3,ZF,m,2006-10-10,2,,orange3,red5,2007-01-31,End of Exp.,Tracer Inj,0
1837,y4p-o3,ZF,f,2006-10-10,2,,orange3,red5,2007-02-16,Given away,Given Away to Marianne,0
1845,y7p-o3,ZF,m,2006-10-10,2,,orange3,red5,2007-02-27,End of Exp.,,0
1847,y8p-o3,ZF,f,2006-10-10,2,,orange3,red5,2007-02-16,Given away,Given Away to Marianne,0
869,o14p-ch900,ZF,f,2006-10-19,0,,red14,red2,2007-02-16,Given away,Given Away to Marianne,0
844,o12p-ch900,ZF,f,2006-10-23,4,,goldch900,silver1,2007-02-16,Given away,Given Away to Marianne,0
857,o13p-ch900,ZF,f,2006-10-23,4,,goldch900,silver1,2007-02-16,Given away,Given Away to Marianne,0
892,o16p-ch900,ZF,m,2006-10-23,4,,goldch900,silver1,2007-03-02,End of Exp.,,0
913,o18p-ch900,ZF,f,2006-10-23,4,,goldch900,silver1,2007-02-16,Given away,Given Away to Marianne,0
924,o19p-ch900,ZF,m,2006-10-23,4,,goldch900,silver1,2007-05-02,End of Exp.,,0
949,o20p-ch900,ZF,m,2006-10-23,4,,goldch900,silver1,2007-05-08,End of Exp.,,0
1824,y19p-o4k,ZF,f,2006-10-29,1,,o4k-p2,green13,2007-02-16,Given away,Given Away to Marianne,0
1829,y20p-o4k,ZF,f,2006-10-29,1,,o4k-p2,green13,2007-02-16,Given away,Given Away to Marianne,0
904,o17p-r12k,ZF,m,2006-10-30,0,,r12k-ch900,g4k,2007-04-05,End of Exp.,Reserved by Claude for Richard.,0
1041,o9p-y8,ZF,m,2006-10-30,0,,yellow8,g5k,2007-02-15,End of Exp.,,0
1006,o6p-y8,ZF,m,2006-10-31,0,,yellow8,g5k,2007-02-01,End of Exp.,,0
1017,o7p-y8,ZF,m,2006-10-31,0,,yellow8,g5k,2007-02-05,End of Exp.,,0
1029,o8p-y8,ZF,f,2006-10-31,0,KU,yellow8,g5k,,,,0
995,o5p-silver17,ZF,u,2006-11-04,2,,silver17,blue10,2007-02-16,Given away,Given Away to Marianne,0
936,o1p-silver17,ZF,f,2006-11-06,0,,silver17,blue10,2007-11-01,Given away,Given away to Johanna,0
958,o2p-silver17,ZF,m,2006-11-06,2,,silver17,blue10,2007-02-09,End of Exp.,,0
982,o4p-silver17,ZF,f,2006-11-06,2,,silver17,blue10,2007-02-16,Given away,Given Away to Marianne,0
970,o3p-silver17,ZF,m,2006-11-07,3,,silver17,blue10,2007-01-25,End of Exp.,,0
198,b6p-yellow20,ZF,m,2006-11-17,0,,yellow20,blue2,2007-02-15,Surgery,,0
324,dJM7a,ZF,u,2006-11-17,0,,orange3,red5,2006-11-30,NE,dead in nest,0
325,dJM7b,ZF,u,2006-11-17,0,,orange3,red5,2006-11-30,NE,dead in nest,0
304,dJM3Ba,ZF,u,2006-11-20,3,,yellow14,green16,2006-12-22,NE,,0
314,dJM4Bg,ZF,u,2006-11-21,6,,s19o,green10,2006-12-22,NE,,0
394,g10p-s19o,ZF,f,2006-11-21,2,,s19o,green10,2007-02-16,Given away,Given Away to Marianne,0
404,g11p-s19o,ZF,m,2006-11-21,2,,s19o,green10,2007-01-19,End of Exp.,,0
415,g12p-s19o,ZF,m,2006-11-21,6,,s19o,green10,2007-03-02,End of Exp.,,0
562,g5p-s19o,ZF,f,2006-11-21,2,,s19o,green10,2007-01-19,End of Exp.,White bird.,0
574,g6p-s19o,ZF,f,2006-11-21,2,,s19o,green10,2007-02-16,Given away,White bird.  Given Away to Marianne,0
585,g7p-s19o,ZF,f,2006-11-21,2,,s19o,green10,2007-02-16,Given away,White bird. Given Away to Marianne,0
131,b1p-red11,ZF,m,2006-11-23,2,,red11,purple16,2007-02-12,End of Exp.,,0
152,b2p-red11,ZF,m,2006-11-23,2,,red11,purple16,2007-06-19,End of Exp.,,0
165,b3p-red11,ZF,m,2006-11-23,4,,red11,purple16,2007-03-29,End of Exp.,,0
175,b4p-red11,ZF,f,2006-11-23,4,,red11,purple16,2009-10-04,NE,,0
186,b5p-red11,ZF,m,2006-11-23,4,,red11,purple16,2007-07-12,End of Exp.,,0
818,o10p-r16,ZF,u,2006-11-30,0,,red16,green16,2007-01-19,End of Exp.,,0
880,o15p-r16,ZF,u,2006-11-30,0,,red16,green12,2007-01-24,,,0
377,dJU5a,ZF,u,2006-12-08,3,,yellow20,blue2,2006-12-15,NE,,0
517,g20p-s17o,ZF,f,2006-12-08,0,,s17o,s8k-p11k,2007-02-16,Given away,Given Away to Marianne,0
1574,r7g-yellow8,ZF,f,2006-12-13,5,,yellow8,g5k,2009-11-06,NE,green ring is missing.This bird's offspring were WHITE!!! Don't use  for breeding unless necessary.,0
1668,s10p-yellow8,ZF,m,2006-12-13,5,,yellow8,g5k,2007-03-12,End of Exp.,,0
1673,s11p-yellow8,ZF,f,2006-12-13,5,,yellow8,g5k,2008-09-13,End of Exp.,,0
1677,s12p-yellow8,ZF,m,2006-12-13,5,,yellow8,g5k,2007-03-06,End of Exp.,,0
1680,s13p-yellow8,ZF,f,2006-12-13,5,,yellow8,g5k,2008-08-21,NE,euthanized,0
1683,s14p-yellow8,ZF,m,2006-12-13,5,,yellow8,g5k,2007-03-06,End of Exp.,,0
1311,r1p-r19o,ZF,m,2006-12-15,4,,r19o-r11,g1k,2007-04-17,End of Exp.,,0
1353,r2p-r19o,ZF,m,2006-12-15,4,,r19o-r11,g1k,2007-03-26,End of Exp.,,0
1402,r3p-r19o,ZF,m,2006-12-15,4,,r19o-r11,g1k,2008-10-07,End of Exp.,Reserved for Janie,0
1448,r4p-r9k,ZF,f,2006-12-15,0,,r9k-s17,p8k,2009-06-25,NE,"not in KU 01.11.2007. Not found, presumed dead. (-janie, 25.june.2009).",0
1492,r5p-r9k,ZF,f,2006-12-15,0,,r9k-s17,p8k,2007-04-17,Perished,,0
1537,r6p-r9k,ZF,m,2006-12-15,0,,r9k-s17,p8k,2008-02-25,End of Exp.,,0
1578,r7p-r9k,ZF,f,2006-12-15,0,,r9k-s17,p8k,2007-07-24,Given away,Given away to Johanna,0
1261,r,ZF,m,2006-12-17,4,,silver17,blue10,2007-01-30,End of Exp.,,0
1292,r13o-s17,ZF,m,2006-12-17,4,,silver17,blue10,2007-05-06,End of Exp.,,0
1296,r14w-silver17,ZF,f,2006-12-17,4,,silver17,blue10,2008-08-21,NE,euthanized,0
1301,r17k-silver17,ZF,f,2006-12-17,4,,silver17,blue10,2007-03-22,End of Exp.,,0
1306,r18w-silver17,ZF,m,2006-12-17,4,,silver17,blue10,2007-04-02,End of Exp.,,0
47,b13p-y13k,ZF,f,2006-12-22,2,,y13k-s17,purple5,2007-07-24,Given away,Given away to Johanna,0
58,b14p-y13k,ZF,f,2006-12-22,2,,y13k-s17,purple5,2007-04-20,End of Exp.,,0
71,b15p-y13k,ZF,f,2006-12-22,2,,y13k-s17,purple5,2007-07-24,Given away,Given away to Johanna,0
84,b16p-y13k,ZF,f,2006-12-22,2,,y13k-s17,purple5,2007-06-25,End of Exp.,,0
95,b17p-y13k,ZF,f,2006-12-22,2,,y13k-s17,purple5,2007-07-24,Given away,Given away to Johanna,0
208,b7p-y13k,ZF,f,2006-12-22,2,,y13k-s17,purple5,2007-04-20,End of Exp.,,0
596,g8o*,ZF,u,2006-12-22,2,,y13k-s17,purple5,2007-02-05,End of Exp.,,0
1401,r3p-orange3,ZF,f,2006-12-23,2,,orange3,red5,2007-04-20,End of Exp.,,0
1447,r4p-orange3,ZF,f,2006-12-23,2,,orange3,red5,2007-03-29,End of Exp.,,0
2,a3-r16,ZF,u,2006-12-29,4,,red16,green12,2007-02-12,End of Exp.,,0
13,b10p-red16,ZF,f,2006-12-29,4,,red16,green12,2007-03-29,End of Exp.,,0
24,b11p-red16,ZF,f,2006-12-29,4,,red16,green12,2007-07-24,Given away,Given away to Johanna,0
35,b12p-red16,ZF,f,2006-12-29,4,,red16,green12,2007-07-24,Given away,Given away to Johanna,0
143,b20p-red16,ZF,u,2006-12-29,4,,red16,green12,2007-03-29,End of Exp.,,0
231,b9p-red16,ZF,f,2006-12-29,4,,red16,green12,2009-06-25,NE,"not in U1 - missing. Not found, presumed dead. (-janie, 25.june.2009)",0
107,b18p-s14k,ZF,f,2006-12-31,0,,s14k-r16,p3o-sb,2007-11-01,Given away,Given away to Johanna,0
118,b19p-s14k,ZF,f,2006-12-31,0,,s14k-r16,p3o-sb,2007-05-18,End of Exp.,DOUBLE,0
221,b8p-s14k,ZF,m,2006-12-31,0,,s14k-r16,p3o-sb,2009-05-22,NE,Euthanized due to swollen foot on 'p' leg,0
425,g13p-purple20,ZF,m,2006-12-31,3,,purple20,purple13,2009-06-18,End of Exp.,reserved for michael,0
436,g14p-p20,ZF,f,2006-12-31,3,,purple20,purple13,2007-04-25,End of Exp.,,0
447,g15p-purple20,ZF,f,2006-12-31,3,,purple20,purple13,2008-08-21,NE,euthanized,0
494,g19p-purple20,ZF,m,2006-12-31,3,,purple20,purple13,2007-06-04,End of Exp.,,0
45,b13g-red11,ZF,m,2007-01-01,5,,red11,purple16,2008-10-25,End of Exp.,cochlear rem. by Claude,0
68,b15g-red11,ZF,f,2007-01-01,5,,red11,purple16,2007-04-20,End of Exp.,,0
81,b16g-red11,ZF,f,2007-01-01,5,,red11,purple16,2007-11-01,Given away,Given away to Johanna,0
244,B-R-K209-64,BF,f,2007-01-01,0,A,,,,,white bird,0
262,demo,ZF,u,2007-01-01,0,,p7r8k,,,,,0
626,G-TT69-73,BF,m,2007-01-01,0,A,,,,,crappy song!,0
627,g-v12,BF,f,2007-01-01,0,?,,,,,"Not found in cage A on 25 Aug., 2009 - Janie.",0
811,K-G-K209-54,BF,m,2007-01-01,0,A,,,,,,0
812,K-K-K209-15,BF,f,2007-01-01,0,A,,,,,,0
813,K-K-K209-52,BF,m,2007-01-01,0,?,,,,,"Not found in cage A on 25 Aug., 2009 - Janie.",0
814,K-K-K209-78,BF,m,2007-01-01,0,,,,2008-10-30,NE,swollen foot,0
1068,p11-r3,BF,m,2007-01-01,0,,,,2008-08-11,NE,,0
1243,p9green,BF,m,2007-01-01,0,,,,2009-11-01,NE,Found dead in cage.,0
1418,r3y1,BF,f,2007-01-01,0,A,,,,,,0
1419,r3y10,BF,f,2007-01-01,0,,,,2009-08-25,Perished,,0
1420,r3y11,BF,m,2007-01-01,0,A,,,,,,0
1421,r3y12,BF,m,2007-01-01,0,A,,,,,missing r3 ring,0
1429,r3y2,BF,f,2007-01-01,0,A,,,,,,0
1431,r3y3,BF,m,2007-01-01,0,A,,,,,didn't want to sing in E4.,0
1432,r3y4,BF,f,2007-01-01,0,A,,,,,,0
1433,r3y5,BF,f,2007-01-01,0,?,,,,,"Not found in cage A on 25 Aug., 2009 - Janie.",0
1434,r3y6,BF,m,2007-01-01,0,A,,,,,,0
1435,r3y7,BF,m,2007-01-01,0,A,,,,,,0
1436,r3y8,BF,m,2007-01-01,0,A,,,,,,0
1437,r3y9,BF,f,2007-01-01,0,?,,,,,"Not found in cage A on 25 Aug., 2009 - Janie.",0
1493,r5p-red11,ZF,m,2007-01-01,5,,red11,purple16,2007-08-03,End of Exp.,,0
1618,r8p-yellow20,ZF,f,2007-01-01,6,,yellow20,blue2,2007-07-23,End of Exp.,,0
1656,r9g-red11,ZF,f,2007-01-01,5,,red11,purple16,2007-04-20,End of Exp.,,0
1665,R-G-K209-91,BF,f,2007-01-01,0,A,,,,,,0
1684,s15g-yellow20,ZF,f,2007-01-01,6,,yellow20,blue2,2007-06-06,End of Exp.,,0
1689,s16p-yellow20,ZF,m,2007-01-01,6,,yellow20,blue2,2007-04-13,Surgery,,0
1692,s17p-yellow20,ZF,f,2007-01-01,6,,yellow20,blue2,2007-07-05,End of Exp.,,0
1695,s18o-y20,ZF,m,2007-01-01,6,,yellow20,blue2,2007-04-02,End of Exp.,,0
1708,s20o-yellow20,ZF,m,2007-01-01,6,,yellow20,blue2,2008-05-19,End of Exp.,,0
1761,tweak14,ZF,u,2007-01-01,0,,b19r8,,,,,0
1762,tweak15,ZF,u,2007-01-01,0,,p5r3,,,,,0
1763,tweak16,ZF,u,2007-01-01,0,,g19r8,,,,,0
1764,tweak17,ZF,u,2007-01-01,0,,r7s5,,,,,0
1765,tweak18,ZF,u,2007-01-01,0,,p10r6,,,,,0
1766,tweak19,ZF,u,2007-01-01,0,,p2s2,,,,,0
1768,tweak20,ZF,u,2007-01-01,0,,p5r3,,,,,0
1769,tweak21,ZF,u,2007-01-01,0,,b14r4,,,,,0
1770,tweak22,ZF,u,2007-01-01,0,,g12r2,,,,,0
1771,tweak24,ZF,u,2007-01-01,0,,b7r7,,,,,0
1772,tweak25,ZF,u,2007-01-01,0,,k2r2,,,,,0
1773,tweak26,ZF,u,2007-01-01,0,,b8r7,,,,,0
1793,v-v10,BF,m,2007-01-01,0,A,,,,,,0
1794,W-K-K209-14,BF,f,2007-01-01,0,A,,,,,,0
300,dJM2Ba,ZF,u,2007-01-02,2,,s18o,orange16,2007-01-31,NE,Malformed feet.,0
301,dJM2Bb,ZF,u,2007-01-02,2,,s18o,orange16,2007-01-29,NE,malformed feet.,0
459,g16p-yellow1,ZF,m,2007-01-12,3,,yellow1,p19k-o3,2007-05-09,,end of experiment,0
471,g17p-yellow1,ZF,f,2007-01-12,3,,yellow1,p19k-o3,2007-06-12,Surgery,,0
483,g18p-yellow1,ZF,u,2007-01-12,3,,yellow1,p19k-o3,2007-02-20,End of Exp.,,0
1265,r10p-y7o,ZF,f,2007-01-22,3,,y7o-r16,r11o-o4k,2007-04-10,End of Exp.,,0
1287,r11p-y7o,ZF,f,2007-01-22,3,,y7o-r16,r11o-o4k,2007-05-08,End of Exp.,,0
1290,r12p-y7o,ZF,m,2007-01-22,3,,y7o-r16,r11o-o4k,2009-06-12,End of Exp.,reserved for michael,0
1293,r13p-sb,ZF,m,2007-01-24,2,,silverblack,blue3,2007-04-28,End of Exp.,,0
1617,r8p-s19o,ZF,f,2007-01-29,0,KU,s19o,green10,,,,0
1659,r9p-s19o,ZF,f,2007-01-29,0,,s19o,green10,2007-11-01,Given away,Given away to Johanna,0
1054,p10p-s18o,ZF,m,2007-02-08,7,,s18o,orange16,2007-05-16,End of Exp.,,0
1193,p4p-s18o,ZF,m,2007-02-08,2,,s18o,orange16,2007-05-08,Given away,Aymeric - contact me when you take this bird,0
1215,p6p-s18o,ZF,f,2007-02-08,2,,s18o,orange16,2007-05-28,End of Exp.,,0
1223,p7p-s18o,ZF,f,2007-02-08,7,,s18o,orange16,2007-05-08,End of Exp.,Aymeric - contact me when you catch the bird with ring p7p,0
106,b18p-p20,ZF,m,2007-02-14,3,,purple20,purple13,2007-06-03,End of Exp.,,0
1155,p1p-s14k,ZF,f,2007-02-14,3,,s14k-r16,p3o-sb,2007-07-24,Given away,Given away to Johanna,0
1173,p2p-s14k,ZF,m,2007-02-14,3,,s14k-r16,p3o-sb,2007-10-05,End of Exp.,Reserved by Aymeric,0
1183,p3p-s14k,ZF,f,2007-02-14,3,,s14k-r16,p3o-sb,2008-06-09,Given away,Given away to Johanna on 09.06.08,0
1204,p5p-s14k,ZF,m,2007-02-14,3,,s18o,orange16,2007-05-07,End of Exp.,,0
1704,s1p-y20,ZF,f,2007-02-15,2,,yellow20,blue2,2007-11-01,Given away,Given away to Johanna,0
1712,s2kk-y20,ZF,m,2007-02-15,2,,yellow20,blue2,2007-06-11,End of Exp.,has one black ring on each foot.,0
1718,s3p-y20,ZF,m,2007-02-15,2,,yellow20,blue2,2007-05-24,End of Exp.,,0
119,b19p-s3k,ZF,f,2007-02-19,2,,s3k-y8,k9k-ch900,2007-12-03,End of Exp.,DOUBLE,0
1295,r14p-s2,ZF,f,2007-03-01,3,,silver2,green16,2007-07-24,Given away,Given away to Johanna,0
1298,r15p-s2,ZF,f,2007-03-01,3,,silver2,green16,2008-06-09,Given away,Given away to Johanna on 09.06.08,0
1300,r16p-s2,ZF,m,2007-03-01,3,,silver2,green16,2007-06-21,,,0
371,dJU3c,ZF,u,2007-03-04,1,,silverblack,blue3,2007-03-10,NE,,0
372,dJU3d,ZF,u,2007-03-04,0,,silverblack,blue3,2007-03-10,NE,,0
373,dJU3e,ZF,u,2007-03-04,0,,silverblack,blue3,2007-03-10,NE,,0
1723,s4p-s15,ZF,u,2007-03-05,3,,silver15,p6k-y8,2007-04-23,NE,dying,0
1075,p12p-s17o,ZF,f,2007-03-07,5,,s17o,s8k-p11k,2007-11-01,Given away,Given away to Johanna,0
1286,r11p-s17o,ZF,f,2007-03-07,5,,s17o,s8k-p11k,2009-06-25,NE,"not in KU 01.11.2007. Not found, presumed dead. (-janie, 25.june.2009).",0
1305,r18p-s17o,ZF,m,2007-03-07,5,,s17o,s8k-p11k,2008-06-09,Given away,Reserved by Claude!!!  Good song. Purely white bird. Given away to Johanna on 09.06.08,0
1308,r19p-s17o,ZF,m,2007-03-07,5,,s17o,s8k-p11k,2009-06-25,NE,"With good song structure, but rarely sing. Reserved by Claude. Not found in KM on 20 June 2009. - Janie",0
