ID;Bird;Exp Name;Start Date;End Date;Setup;Data On;Backup On;PI;SG;Comment
232;r10p-y7o;Perfusion;10.04.2007;10.04.2007;;;;Daniele;1;Perfusion with students
233;r1p-r19o;Tracer Injection;11.04.2007;17.04.2007;;;;Daniele;1;Tracer Injection in HVC AF
234;s15o;acute;12.04.2007;12.04.2007;AS;;Lacie1TB;Richard;2;RA-recording/ UVA-recording and injections
235;s16p-yellow20;acute;13.04.2007;13.04.2007;AS;;;Aymeric;2;Bird did not survive surgery. Excessive bleeding during surgery for unclear reasons.
236;y12p-r11;SR;13.04.2007;15.04.2007;IS3;;;Aymeric;0;
237;g19p-purple20;SR;13.04.2007;15.04.2007;IS4;;;Aymeric;0;No records
238;y12p-r11;Acute;15.04.2007;15.04.2007;AS;;;Richard;2;RA-recordings, HVC-stimulations, UVA-injections
239;b12o-g14k;Tracer Injection;15.04.2007;17.04.2007;;;;Moritz;2;
240;r4p-orange3;Cochlear removal;29.03.2007;29.03.2007;;;;Georg;1;Cochlear romval practice, killed animal in anaesthesia .
241;b10p-red16;Cochlear removal practice;29.03.2007;29.03.2007;;;;Georg;1;Killed animal during anaesthesia.
242;y4o-wang;HVC Stim. & DM Rec.;17.04.2007;17.05.2007;E2;Zirkel;;Claude;3;Suddenly dead at night (16.05.2007). Found no cause for his death.
243;r5p-r9k;Cochlear removal practice;16.04.2007;17.04.2007;;;;Georg;3;Removed both cochleas, bird unbalanced and in distress. Injected 3x 20 ul (1/10 Rimadyl) over the two days. Found bird dead in cage.
245;o20p-ch900;sr -> multitrode ra;18.04.2007;08.05.2007;E3;Zut2;;Joshua;2;
246;b15g-red11;Cochlear removal practice;20.04.2007;20.04.2007;;;;Georg;1;
247;r9g-red11;Cochlear removal practice;20.04.2007;20.04.2007;;;;Georg;1;
248;r3p-orange3;Cochlear removal practice;20.04.2007;20.04.2007;;;;Georg;1;
249;b14p-y13k;Cochlear removal practice;20.04.2007;20.04.2007;;;;Georg;1;
250;b7p-y13k;Cochlear removal practice;20.04.2007;20.04.2007;;;;Georg;1;
251;s2kk-y20;MD NIf;25.04.2007;11.06.2007;E1;Zut;Lacie1TB;Georg;2;found NIf with E3 at 2200-2400. lateral positioner probably works only for one sweep, i.e. only forward. 2 days of hvc stimulation to find stopping points. Cochlear removal practice.
252;g14p-p20;Practice DM rec. electrode implant;25.04.2007;25.04.2007;;;;Claude;1;
253;p6p-s18o;Cochlear removal;26.04.2007;28.05.2007;;;;Georg;2;surgery sucessful on right side, left incomplete cochlear removal. Bird not deaf!
254;r13p-sb;DM-Rec. Implant Practice;28.04.2007;28.04.2007;;;;Claude;1;
255;o19p-ch900;Tracer Injection;30.04.2007;02.05.2007;;;;Daniele;1;HVc injection
256;o6o-r12k;SR;30.04.2007;03.05.2007;IS7;Zut3;;Claude;1;
257;r13o-s17;SR;30.04.2007;07.05.2007;IS6;Zut3;;Claude;1;
258;o6o-r12k;UVA/NIF;03.05.2007;03.05.2007;AS;;;Rich;2;Acute experiment - Did not found UVA
259;r13o-s17;UVA/NIF;06.05.2007;06.05.2007;AS;;;Rich;2;Acute experiment - found UVA - Tracer
260;p7p-s18o;SR;07.05.2007;08.05.2007;IS3;Zut3;;Aymeric;0;
261;r5o-s2;SR;07.05.2007;10.05.2007;IS4;Zut3;;Aymeric;0;
262;r11p-y7o;Training;08.05.2007;08.05.2007;;;;Michael;1;Training for use of the headplate
263;p7p-s18o;Acute;08.05.2007;08.05.2007;AS;Zut4;Lacie1TB;Richard;2;UVA Glutamat-injections and HVC-recordings
264;y18p-s2;SR;09.05.2007;16.05.2007;IS1;Zut3;;Aymeric;1;
265;y15p-s2;SR;09.05.2007;17.05.2007;IS2;Zut3;;Aymeric;1;
266;s8o-p11k;SR;09.05.2007;11.05.2007;IS3;Zut3;;Claude;0;
267;g16p-yellow1;two-photon microscopy;09.05.2007;09.05.2007;AS;;;Michael;2;first two-photon microscopy experiment using the self-designed head-plate
268;s20k-sg8;Practice mounting the Metal Window;11.05.2007;11.05.2007;;;;Michael;2;Practice mounting the window on top of HVC for confocal Microscope.
269;r5o-s2;Acute;10.05.2007;10.05.2007;AS;;;Richard;2;UVA injections and HVC Recordings
270;p20o-o4k;SR;15.05.2007;22.05.2007;IS3;Zut3;;Aymeric;2;
271;s3p-y20;SR;15.05.2007;24.05.2007;IS4;Zut3;;Aymeric;2;
272;p10p-s18o;two-photon microscopy;16.05.2007;16.05.2007;AS;;;Michael;1;second trial with setup of helmchen group and also head-plate
273;r9k-s17;SR;17.05.2007;04.07.2007;E2;Zirkel;;Claude;1;
274;r19o-r11;SR;17.05.2007;31.05.2007;IS2;Zut3;;Claude;1;
275;b18p-p20;SR;17.05.2007;03.06.2007;IS1;Zut3;;Claude;1;
276;y18p-s2;Acute;16.05.2007;16.05.2007;AS;Zut4;Lacie1TB;Richard;2;UVA Glutamatinjections and HVC recordings
277;y15p-s2;Acute;17.05.2007;17.05.2007;AS;Zut4;Lacie1TB;Richard;2;Surgery - acute setup - UVA recordings, HVC recordings - UVA Glutamat injections and HVC recordings - Tracers in UVA and HVC
278;b19p-s14k;Cochlear removal practice;18.05.2007;18.05.2007;;;;Georg;2;ear method, removed semicircular canal on right side. Otherwise good surgery.
279;yellow8;SR;21.05.2007;24.05.2007;IS5;Zut3;;Michael;0;time reversion and song recording
280;s18o;SR;21.05.2007;29.05.2007;IS6;Zut3;;Michael;1;
281;r1b-o3;electrophysiology in hvc;21.05.2007;21.05.2007;AS;;;Michael;2;chart hvc electrophysiologically -> training
282;p20o-o4k;UVA Exp.;22.05.2007;22.05.2007;AS;Zut4;Lacie1TB;Richard;2;Silence Nif, Stim. UVA, and record HVC. Good Exp.
283;s3p-y20;Acute Exp.;24.05.2007;24.05.2007;AS;;;Richard;2;Silence Nif or nearby non-Nif area, Stim. UVA, Rec. HVC activity. Good Exp.
284;yellow8;charting hvc;24.05.2007;24.05.2007;;;;Michael;1;
285;silver2;Tracer injection;25.05.2007;29.05.2007;;;;Daniele;2;Preembvedding immunohisto
286;yellow14;Tracer injection RA AF488 and FR smal;25.05.2007;29.05.2007;;;;Moritz;2;
287;s18o;two-photon microscopy;29.05.2007;29.05.2007;AS;;;Michael;2;
289;o11o-r12k;SR;31.05.2007;06.06.2007;IS6;Zut3;;Michael;1;
290;g19p-purple20;SR;31.05.2007;04.06.2007;IS3;Zut3;;Aymeric;1;
291;p17o-silver2;SR;31.05.2007;14.06.2007;IS4;Zut3;;Aymeric;1;
292;r19o-r11;UVA Exp.;01.06.2007;31.05.2007;AS;Zing;Lacie1TB;Claude;2;Found a good UVA_nif neuron.
293;g14k;two-photon microscopy;01.06.2007;01.06.2007;AS;;;Michael;2;
294;r16p-s2;SR;04.06.2007;21.06.2007;IS5;Zut3;;Michael;1;
295;b2p-red11;Tracer injection bilateral RA and HVC;04.06.2007;19.06.2007;;;;Moritz;1;
296;b18p-p20;Acute;03.06.2007;03.06.2007;AS;Zut4;Lacie1TB;Richard;2;Uva Recording and NIf/HVC stimulations
297;g19p-purple20;Acute;04.06.2007;04.06.2007;AS;Zut4;Lacie1TB;Richard;2;Uva - recordings and injections of Glutamat HVC/Nif - stimulations and recording
298;Silver17;Perfusion for He Ion Micro trial;05.06.2007;05.06.2007;;;;Moritz;1;
299;s15g-yellow20;Acute;06.06.2007;06.06.2007;AS;;;Fethi;2;RA-HVC recordings and PB conspecific songs
300;o11o-r12k;two-photon microscopy;06.06.2007;06.06.2007;AS;;;Michael;3;
301;g17p-yellow1;SR;08.06.2007;12.06.2007;IS1;Zut3;;Fethi;1;
302;s6p-s3k;Tracer Injection two-photon microscopy;12.06.2007;15.06.2007;;;;MIchael;2;injection of alexa fluor 488 into ra only on the right hemisphere
303;g17p-yellow1;acute;12.06.2007;12.06.2007;AS;;;Fethi;2;acute - no data
304;p17o-silver2;acute;14.06.2007;14.06.2007;AS;;;Richard;2;search UVA - Tracer in UVA
306;r16p-s2;Acute;21.06.2007;21.06.2007;AS;;Lacie1TB;Richard;2;UVA injections - HVC recordings and Stimulations in Nif
307;g3p-sb;SR;22.06.2007;25.06.2007;IS5;Zut3;;Michael;2;
308;s8k-p11k;Perfusion Experiment;25.06.2007;25.06.2007;;;;Moritz;1;
309;b16p-y13k;Perfusion for EM;25.06.2007;25.06.2007;;;;Daniele;1;Perfusion for electro-microscopy (4% PFA, 0.3% Glut, postfix 2h 4% PFA)
310;g3p-sb;two-photon microscopy;26.06.2007;25.06.2007;AS;Zut4;;Michael;2;ogb-1 am injection at setup of helmchen group
311;p19p-b3k;SR;26.06.2007;27.06.2007;IS5;Zut3;;Michael;0;
312;p19p-b3k;two-phtoton imaging;27.06.2007;27.06.2007;AS;Zut4;;Michael;2;electroporation with ogb-1 in potassium salt form
313;b5p-red11;SR;29.06.2007;12.07.2007;IS5;Zut3;;Michael;0;time reversion
314;b3k;calcium green I - injection two-photon microscopy;29.06.2007;02.07.2007;;;;Michael;2;injection of calcium dependent tracer calcium green I - MW 10000
317;DJsubsong;HVC/LMAN-subsong;02.07.2007;17.07.2007;E3;Zutty;;AymRiGio;2;Electrodes in HVC and LMAN in both sides.Earphones for auditory feedback. Big noise artefacts on all four electrodes, pick up from head phone wires?
318;s17p-yellow20;Perfusion experiment, phosph. Tungsticacid;05.07.2007;05.07.2007;;;;Moritz;1;
319;s3s13-gF13p;SR;09.07.2007;17.07.2007;E3;;;Aymeric;1;showgirl compagnon for males in eperiment in E3
320;green9;Perfusion for EM;10.07.2007;10.07.2007;;;;Daniele;1;Perfusion 4% PFA 0.3 Glut and postfix 1h PFA RT. Experiment without accelerator.
321;b4r1;SR;13.07.2007;18.07.2007;IS5;Zut3;;Michael;1;song recording and time reversion
322;b5p-red11;tracer-injection two-photon microscopy;09.07.2007;12.07.2007;;;;Michael;2;calcium green I - dextran injection into ra
324;r1s11;HVC-pHVC cut;16.07.2007;20.07.2007;IS1;;;Georg;2;cut HVC-pHVC and injected tracer in HVC.
325;r1s12;Tracer injection HVC;16.07.2007;20.07.2007;IS2;;;Georg;2;Tracer injection in HVC as control for r1s11. Burns in NCM.
326;r1s13;SR;15.07.2007;20.07.2007;IS3;;;Georg;1;
327;goldch900;SR;04.07.2007;17.07.2007;;;;Aymeric;1;
328;r4r15;Perfusion for EM;17.07.2007;17.07.2007;;;;Daniele;1;Perfusion with 4% PFA 0.3 Glut 25 min and postfix PFA 1h30min
329;b4r1;CGI injection - 2PLSM;18.07.2007;18.07.2007;;;;Michael;2;CG1 injection into RA -> same day 2PLSM with sulforhodamine on surface
330;g2p-sb;SR;19.07.2007;25.07.2007;IS5;Zut3;;MIchael;1;
331;k1r1-s3k;RArec - HVC/LMAN stim;19.07.2007;19.07.2007;AS;;;Richard;2;Acute Experiment: RA recordings and bicucculine-injections and variable HVC/LMAN stimulations
332;g5k;perfusion experiment;23.07.2007;23.07.2007;;;;Moritz;1;
333;r8p-yellow20;perfusion experiment;23.07.2007;23.07.2007;;;;moritz;1;
334;s8p-r14;Search DM & Inject tracer;23.07.2007;23.07.2007;AS;;;Claude;1;
335;s10s20-y7o;SR;24.07.2007;07.08.2007;IS6;Zut3;;Michael;1;
336;r1s13;L1-L2a-CLM chronic recording;23.07.2007;16.08.2007;E1;Zut;;Georg;2;
337;DJsubsong2;HVC/LMAN-subsong;24.07.2007;28.07.2007;E3;Zutty;;AymRichGio;3;Electrode on both, HVC and LMAN, good signal on LMAN electrodes, head movement noise on HVC (and probably LMAN as well) electrodes. bird died 4 days after surgery. Infection on left lman and hvc craniotomy.
338;a4-yellow1;Acute;25.07.2007;25.07.2007;AS;;Lacie1TB;Aymeric;2;RA rec and Bicucculine inections -  HVC/LMAN stimulations
339;s9p-r14;Search DM & tracer injection.;26.07.2007;26.07.2007;AS;;;Claude;1;
340;yellow1;SR;25.07.2007;28.07.2007;E3;;;Aymeric;1;SOngrecording in E3 with son in experiment DJsubsong2
341;g2p-sb;two-photon microscopy;25.07.2007;25.07.2007;AS;;;Michael;2;electroporation & intracellular electroporation
342;s3s13-gF13p;intracellular recording;27.07.2007;27.07.2007;AS;;;MIchael;2;
343;p8k;removeal of parahippocampus;27.07.2007;27.07.2007;AS;;;Michael;2;
344;g1p-sb;SR;30.07.2007;09.07.2007;IS5;Zut3;;Michael;1;
345;a5-yellow1;acute;30.07.2007;30.07.2007;AS;;Lacie1TB;Aymeric;2;RA rec and bicucculine injections - LMAN/HVC variable stimulations
346;r5p-red11;Search DM & MLD.;03.08.2007;03.08.2007;AS;;;Claude;1;
347;o11o12;Search DM & MLD with HVC Stim.;08.08.2007;10.08.2007;AS;;;Claude;2;Found MLD and DM. HVC Stim. threshold for evoking DM response is only 30 uA. Inject tracer and keep the bird alive for two days.
348;s10s20-y7o;two-photon microscopy;07.08.2007;07.08.2007;AS;Zut4;;Michael;2;ogb-1 dextran injection into ra - 2plsm in hvc - removeal of parahippocampus
349;g1p-sb;two-photon microscopy;09.08.2007;09.07.2007;AS;Zut4;;Michael;2;electrophysiological search for hvc - single cell electroporation - stimulation of stained cells within hvc - bird died during experiment :-(
350;r5r19;SR;10.08.2007;27.08.2007;IS5;Zut3;;Michael;1;
351;s20p-s3k;SR;10.08.2007;14.08.2007;IS6;Zut3;;Michael;1;
353;o5o6;DM & MLD Search;14.08.2007;14.08.2007;AS;;;Claude;1;Make a burn.
354;o2r1;RArec/inj-HVC/LMANstim;16.08.2007;16.08.2007;AS;Zut4;Lacie1TB;Aymeric;2;acute esperiment with RArecordings and RAbicuinjection with HVC/LMANstim-Protocol
355;o13o14;Search DM & MLD;17.08.2007;17.08.2007;AS;;;Claude;1;Make a burn.
356;s20p-s3k;two-photon microscopy;14.08.2007;14.08.2007;AS;;;Michael;2;single-cell electroporation and stimulation of cells
357;a6-r12p;RArec-HVC-LMANstim;21.08.2007;21.08.2007;AS;Zut4;Lacie1TB;Aymeric;2;RArecordings and bicucculine injections - variable LMAN and HVC stimulations
358;y4r1;Perfusion for EM;22.08.2007;22.08.2007;;;;Daniele;1;Complete protocol with TA, perfusion with 4%PFA 2.5 Glut
359;a7-o20o;RArec/inj & LMAN/HVCstim;22.08.2007;22.08.2007;AS;Zut4;Lacie1TB;Aymeric;2;RA recordings and bicucculine injections while variable HVC/LMAN stimulations
360;r9k-s17;HVC Stim. & DM Rec.;27.08.2007;27.08.2007;E2;Zirkel;;Claude;2;Dead during surgery.
361;r5r19;two-photon microscopy;27.08.2007;27.08.2007;AS;;;Michael;1;ogb-1 am injection into ra according to coordinates
362;r2r3;SR;29.08.2007;31.08.2007;IS1;Zut3;;Aymeric;0;Songrecording
363;b5r1;SR;29.08.2007;31.08.2007;IS2;Zut3;;Aymeric;0;Songrecording no data
364;b1r1;SR;29.08.2007;31.08.2007;IS3;Zut3;Lacie1TB;Aymeric;0;Songrecording successful
365;b1r1;Acute Eperiment;31.08.2007;31.08.2007;AS;Zut4;Lacie1TB;AymRich;2;HCC and Nif stimulations Uva recordings
366;p17p-p14k;Tracer inj for EM studies;28.08.2007;03.09.2007;;;;Daniele;2;HVC Af 488 bilateral for tannic acid studies
367;r19p-s17o;SR;27.08.2007;03.09.2007;E2;;;Claude;1;
368;red14;SR & HVC Stim. DM Rec.;03.09.2007;13.10.2007;E2;Zirkel;;Claude;2;
369;r1y6;SR;11.09.2007;21.09.2007;IS3;Zut3;;Aymeric;1;
370;r1s2;SR;11.09.2007;19.09.2007;IS1;Zut3;;Aymeric;1;
371;b5r1;SR;11.09.2007;18.09.2007;IS2;Zut3;;Aymeric;1;
372;r1s20;tracer experiment;18.09.2007;25.09.2007;;;;Moritz;2;HVC and RA injection bilateral
373;r1s6;Tracer inj;18.09.2007;21.09.2007;;;;Daniele;2;R (ML 1.720 AP 100 DV -0.400  ML 2.020 AP 170 DV -0.470)             L (ML 2.100 AP 170 DV -0.490   ML 1.750 AP 170 DV -0.500)
374;b5r1;HVC&NIFstimulation UVArecording;18.09.2007;18.09.2007;AS;Zut4;Lacie1TB;Richard;2;Acute
375;r1s2;HVC & NIFstimulations and UVArecordings;19.09.2007;19.09.2007;AS;Zut4;Lacie1TB;AymRich;2;
376;o8r1;Test new chronical preAmp.;21.09.2007;21.09.2007;AS;;;Claude;1;
377;g14r1;acute;24.09.2007;24.09.2007;AS;;;aymeric;2;amplifier
378;p2p-s14k;Chronic;28.09.2007;05.10.2007;E1;;;Aymeric;2;Multichannel amplifier, 3 implantes electrodes in  areas LMAN and HVC
379;r3r10;Tracer injection;28.09.2007;01.10.2007;;;;Daniele;2;Tracer injection HVC and RA, bilateral, for Tokuyasu
380;s5s15-y7o;chronic;21.09.2007;28.09.2007;E1;;;Aymeric;2;Multi-amplifier
381;r1y9;SR;01.10.2007;04.10.2007;IS2;;;Aymeric;0;
383;r1y6;SR;11.09.2007;21.09.2007;IS3;Zut3;;Aymeric;0;
385;r1y10;SR;01.10.2007;07.10.2007;IS3;;;Aymeric;0;
386;o5r1;SR;01.10.2007;05.10.2007;IS1;Zut3;;Aymeric;0;
387;b17r1;SR;03.10.2007;09.10.2007;IS5;Zut3;;Aymeric;0;
388;g15r1;SR;03.10.2007;18.10.2007;IS6;Zut3;;Aymeric;1;
389;r5r18;SR;03.10.2007;19.10.2007;IS7;Zut3;;Aymeric;1;
390;o5r1;Acute;05.10.2007;05.10.2007;AS;Zut4;;Richard;2;HVC NIF stim UVA rec
391;r1y9;acute;04.10.2007;04.10.2007;AS;Zut4;;Richard;2;HVC NIF Stimulations and UVA Recordings
392;r1y10;Acute;07.10.2007;07.10.2007;AS;Zut4;Lacie1TB;Richard;2;HVC and Nif Stimulatio UVA recordings
393;g16r1;Tracer for Tokuyasu;11.10.2007;15.10.2007;;;;Daniele;2;Tracer injection for Tokuyasu, FluoroRuby in HVC bilateral
394;p15o-s3k;SR & HVC Stim, DM rec.;13.10.2007;13.11.2007;E2;Zirkel;;Claude;2;Can't find MLD & DM. Exp. failed.
395;r5r18;acute;19.10.2007;19.10.2007;AS;Zut4;Lacie1TB;Richard;2;Stim HVC and Stim Nif Rec UVA and ovoidalis
396;g12r1;SR;19.10.2007;23.10.2007;IS1;Zut3;;Janie;1;
397;b14r1;SR;19.10.2007;23.11.2007;IS2;Zut3;;Janie;1;
398;g15r1;acute;18.10.2007;18.10.2007;AS;Zut4;Lacie1TB;Richard;2;HVC and Nif stimulations, recording in UVA and ovoidalis while playing PBmix. Gaba injections and tracers. Histology.
399;r2r6;SR;22.10.2007;23.11.2007;IS5;Zut3;;Aymeric;1;
400;b7r1;SR;22.10.2007;10.12.2007;IS6;Zut3;;Aymeric;1;
401;g12r1;Acute;23.10.2007;23.07.2007;AS;Zut4;Lacie1TB;Richard;2;Bipolar stim in L-field - recordings in ovoidalis
402;b17r1;acute;09.10.2007;09.10.2007;AS;Zut4;Lacie1TB;Richard;2;HVC/Nif stimulations and UVA recordings
403;o3r1;tracer exp.;24.10.2007;14.11.2007;;;;Moritz;2;tracer injection, af488-> RA    FR->HVC  bilateral
404;r1s16;Tracer injection;25.10.2007;29.10.2007;;;;Daniele;2;HVC bilateral FR3000
405;p17r1;Cochlear removal practice;25.10.2007;25.10.2007;;;;Georg;1;
406;b18r1;Cochlear removal practice;25.10.2007;25.10.2007;;;;Georg;1;
407;k18r1;SR;29.10.2007;01.11.2007;E2;Zirkel;;Claude;0;
408;r1y20;Tracer injection;13.11.2007;15.11.2007;;;;Daniele;2;AF488 in HVC, Cascade blue in RA
409;p12o-r9k;SR, HVC Stim. DM Stim. Rec.;13.11.2007;03.01.2008;E2;Zirkel;;Claude;2;
410;o1r2;DM & HVC Acute Exp.;15.11.2007;15.11.2007;AS;Zing;;Claude;2;
411;r3r11;Tracer injection;16.11.2007;16.11.2007;;;;Moritz;2;
412;k17r1;Acute Exp. To find fild L;16.11.2007;16.11.2007;AS;;;Janie;2;Found field-L.
413;g10r1;Acute Surgery Protocol;26.10.2007;26.10.2007;AS;;;Janie;2;
414;o4r1;Perfusion for Tokuyasu method;19.11.2007;19.11.2007;;;;Moritz;1;
416;b14r1;Acute;23.11.2007;23.11.2007;AS;;;Janie;2;Found Field L and attempted to find UVA. Attempted to label areas using sharp intracellular recording pipettes.
417;p11r1;Tracer in HVC;27.11.2007;03.12.2007;;;;Daniele;1;For high second high GA exp
418;k18r1;DM acute Exp.;26.11.2007;26.11.2007;AS;Zut4;Lacie1TB;Claude;2;
419;r2r6;SR;23.11.2007;30.11.2007;IS5;Zut3;;Janie;0;
420;r2r6;Acute Recording From Field L;30.11.2007;30.11.2007;AS;;;Janie;2;Recording from Field L. Attempted perfusion to fix brain.
421;r1s10;Tracer Injection;03.12.2007;03.12.2007;;;;Moritz;2;Tracer Injection bilaterally AF488 into HVC, FR into RA
422;b19p-s3k;Test Urethane;03.12.2007;03.12.2007;AS;;;Claude;1;3 doses of 35 ul seperated by 30 minutes. The bird would sleep for at least 5 hours.
423;g11r2;SR;10.12.2007;14.12.2007;IS1;Zut3;;Janie;0;
424;k12r1;DM Acute Exp.;11.12.2007;11.12.2007;AS;Zong;Lacie1TB;Claude;2;Bird dead due to overdose of urethane.
425;p18r1;DM,HVC,LMAN Acute Exp.;12.12.2007;12.12.2007;AS;Zong;Lacie1TB;Claude;2;Good Exp.
426;g1r2;Test urethane after Isoflurane;12.12.2007;11.12.2007;AS;;;Claude;2;Only need 40 ul after finishing surgery (right after turning off the isoflurane) and the bird will sleep well during the whole acute exp.
427;g11r2;Intracellular;14.12.2007;14.12.2007;AS;;;Janie;2;Field L - No Data
428;b10r1;HVC Stim & DM Rec.;17.12.2007;17.12.2007;AS;;;Claude;2;Surgery failed.
429;k10r1;DM acute Exp.;18.12.2007;18.12.2007;AS;;;Claude;2;
430;g18r1;DM Acute Exp.;26.12.2007;26.12.2007;AS;;;Claude;2;Failed.
431;r2y10;DM Acute Exp.;31.12.2007;31.12.2007;AS;;;Claude;2;Failed.
432;k3r1;Tracer injection;03.01.2008;07.01.2008;;;;Daniele;2;AF488 in HVC bilateral
433;k11r1;SR & LED light Stim.;03.01.2008;16.01.2008;E2;Zirkel;;Claude;1;Killed because some wound with bleeding found on the beak.
434;o10w;SR;08.01.2008;11.01.2008;IS1;;;Andreas;1;I just tested for a couple of days if the bird was singing in isolation. He did sing after the first day and produced about 600 song files in 3 days.
435;r2s14;perfusion fuer plt;09.01.2008;09.01.2008;;;;Moritz;0;
436;k5r1;DM acute Exp.;10.01.2008;10.01.2008;AS;zong;Lacie1TB;Claude;2;
437;r2s9;Tracer injection;11.01.2008;11.01.2008;;;;Moritz;2;
438;p3r1;DM Acute Exp.;15.01.2008;15.01.2008;AS;zong;Lacie1TB;Claude;2;
439;p1r1;Tracer Injection;18.01.2008;23.01.2008;;;;Moritz;2;
440;o20r2;injection;18.01.2008;22.01.2008;AS;;;Aymeric;2;AlexaFluoRuby injection in UVA for Doberti
441;b14r2;Tracer injection;18.01.2008;22.01.2008;;;;Daniele;2;HVC for trial immunolabeling of tracer with osmium
442;p18r3;MD NCM;20.01.2008;22.02.2008;E1;;;Georg;2;E1 and E2 worked find, lots of Microphonics. Bilateral cochlear removal -> damage left side, imbalance, vertigo. Bird fell while trying to inject saline into innear ear to compensate fluid loss. EoE. Merde.
443;p15r1;HVC Stim. DM Rec.;22.12.2007;22.01.2008;E2;Zirkel;;Claude;2;
444;o8k-y6;HVC Stim. DM Rec.;17.12.2007;22.01.2008;E1;Zut;;Claude;2;
445;o16r2;Practice cohelea removal.;25.01.2008;25.01.2008;;;;Claude;2;
446;o4k-p2;Practice cohlea removal;30.01.2008;30.01.2008;;;;Claude;1;
447;p16r2;DM acute Exp.;08.05.2008;08.05.2008;AS;;;Claude;1;
448;o14r2;Tracer injection UVA;01.02.2008;06.02.2008;AS;;;Aymeric;2;
449;p7r2;Cohlea removal;01.02.2008;01.02.2008;;;;Claude;1;Failed.
450;r2s5;Right-cochlea removal.;01.02.2008;02.02.2008;;;;Claude;1;Very strange! One day after cochlea removal, the bird is still very unbalanced. I think I didn't destory the semi-circular canal.
452;b1r3;Right-Cochlea removal;07.02.2008;08.02.2008;;;;Claude;1;"Died one day after surgery. His ""food bag"" in the neck still has seeds. Anti-biotics was treated (1ul) after surgery. No idea about the cause of death."
453;b2r3;Right-Cochlea removal;02.02.2008;02.02.2008;;;;Claude;1;Failed.
454;k15r2;Cochlea removal;04.02.2008;04.02.2008;;;;Claude;1;failed.
455;b13r2;Cochlea removal;05.02.2008;05.02.2008;;;;Claude;1;Practice.
456;p4r2;Cochlea removal;05.02.2008;05.02.2008;;;;Claude;1;Practice
457;b18r2;Cochlea removal;05.02.2008;05.02.2008;;;;Claude;1;Practice.
458;r2s13;Perfusion for PLT;08.02.2008;08.02.2008;;;;Moritz;1;
459;r2y11;Tracer injection;08.02.2008;11.02.2008;;;;Daniele;2;Bilateral HVC for EM classic
460;o3r3;NCM lesion;08.02.2008;22.06.2009;IS1;;;Georg;0;NCM lesion at phd 43 no tutor (Not done at all, Claude)
461;o1r3;NCM lesion;08.02.2008;22.06.2009;;;;Georg;2;NCM lesion at phd 43 with tutor (Not done at all, Claude)
462;o2r3;NCM lesion control;08.02.2008;22.06.2009;;;;Georg;1;No lesion separated from tutor at phd 43
463;s8r3;Right-cochlear removal;09.02.2008;09.02.2008;;;;Claude;1;failed.
464;b8r3;Right-Cochlear removal for free song development;11.02.2008;14.02.2000;;;;Claude;1;The bird is still inbalanced. Failed.
465;s9r3;Right-cochlear removal, free song development;11.02.2008;12.02.2008;;;;Claude;1;Failed.
466;b3r3;Right-cochlear removal;11.02.2008;11.02.2008;;;;Claude;1;Failed.
467;r3s5;Right-cochlear removal;11.02.2008;11.02.2008;;;;Claude;1;Failed.
468;r3s7;Right-cochear removal;11.02.2008;11.02.2008;;;;Claude;1;Failed.
469;r3s6;Right-cochlear removal;11.02.2008;11.02.2008;;;;Claude;1;Failed.
470;k18r2;Right-Columella removal.;11.02.2008;12.02.2008;;;;Claude;1;The bird is fine without any inbalancing behavior.
471;r2y7;Right-cochlear removal;12.02.2008;12.02.2008;;;;Claude;1;Failed done by Georg.
472;k4r1;SR;13.02.2008;20.02.2008;;;;Claude;0;
473;k17r2;Right-Cochlear removal done by Georg.;12.02.2008;14.02.2008;;;;Claude;1;Successful this time because we close the ear and didn't try and clean the blood and liquid in the inner ear. The bird survived for two days without any abnormality.
474;o10r2;Tracer injection;21.02.2008;26.02.2008;;;;Daniele;2;bilateral for praktikum.
475;r1y19;Cochlear removal MD;25.02.2008;27.03.2008;E1;Zut;;Georg;2;Removed cochlea to later implant MD in field L. E1 and E2 broke, E3 bad signal quality. Wires from shuttles to electrode run outside. Good signal if wire stabilized with elastic string.
476;r6p-r9k;Cochlear removal practice;25.02.2008;25.02.2008;;;;Georg;1;
477;o10r3;Showgirl;25.02.2008;23.03.2008;E1;;;Georg;1;
478;g5r2;SR;26.02.2008;28.02.2008;IS5;;;Joshua;0;didn't sing.
480;r4s4;RA stimulation + Microdrive LMAN;26.02.2008;06.03.2008;E3;;;Joshua;2;No stimulation response in LMAN, due to microdrive misimplantation
481;r2s19;Perfusion for Graham;26.02.2008;26.02.2008;;;;Daniele;2;
482;k14r1;CR;26.02.2008;26.02.2008;;;;Georg;2;removed cochlea bilaterally. Left side partial removal, behaviourally deaf.
483;b5r3;CR practice;26.02.2008;26.02.2008;;;;Georg;1;
484;r1s17;CR practice;26.02.2008;26.02.2008;;;;Georg;1;
485;o3o15;CR;26.02.2008;26.02.2008;;;;Georg;1;Bird died during surgery
486;r2r7;Intracellular;27.02.2008;27.02.2008;AS;;;Janie;2;Intracellular experimental setup - No Data
487;g14r2;Intracellular;27.02.2008;27.02.2008;AS;;;Janie;2;Intracellular experimental setup - Bird Died No Data
