Birdname;Species;Sex;Birthday;Uncertainty;Cage;Father;Mother;Date of death;Cause of death;Comment;Reserved
blue7;ZF;F;;3;;;;;;is here in the database entered as to be located in M5. I found it ( did I?) in U1 and I gave it away.. Because I couldn't find an entry.;FALSE
B-R-K209-64;BF;F;01.01.2007;0;A;;;;;white bird;FALSE
ch8587;ZF;M;07.08.2008;0;;;;04.12.2008;End of Exp.;bought from qualipet on 07.11.08. birthday estimated (minimum age).;FALSE
cj1;ZF;M;26.05.2008;2;;g8r2;b11r2;13.08.2008;End of Exp.;;FALSE
cj10;ZF;;13.03.2009;5;;o5r6;g2r5;09.07.2009;End of Exp.;;FALSE
cj11;ZF;M;02.06.2009;3;;g13r8;r2s20;20.07.2009;Surgery;;FALSE
cj2;ZF;M;30.06.2008;5;;r2s6;r2y1;15.08.2008;End of Exp.;;FALSE
cj3;ZF;M;26.06.2008;7;;g12r2;p10r2;01.09.2008;End of Exp.;;FALSE
cj4;ZF;M;07.07.2008;3;;p16p-r11;green10;08.09.2008;End of Exp.;;FALSE
cj5;ZF;M;07.08.2008;4;;b14r3;r1y17;29.09.2008;Perished;;FALSE
cj7;ZF;;06.02.2009;6;;b7r5;g19r2;03.04.2009;End of Exp.;;FALSE
cj8;ZF;M;06.02.2009;6;;b7r5;g19r2;24.03.2009;End of Exp.;;FALSE
cj9;ZF;;20.02.2009;1;;red11;b7br-b3k;30.04.2009;End of Exp.;;FALSE
d2M2e;ZF;;04.02.2009;7;;k11r8;r2s18;19.03.2009;NE;;FALSE
ddJ2O4b;ZF;;06.11.2009;1;;p10r8;b11r8;15.11.2009;NE;;FALSE
ddJ2U1d;ZF;;31.10.2009;1;;r10s16;r5s4;15.11.2009;NE;;FALSE
ddJM6e;ZF;;23.09.2009;6;;o5r8;k10r2;23.11.2009;NE;Found dead in cage.;FALSE
ddJO3f;ZF;;05.10.2009;5;;o12r8;g19r2;15.11.2009;NE;;FALSE
delete;ZF;;;0;;p8r8;;;;;FALSE
demo;ZF;;01.01.2007;0;;r10s5;;;;;FALSE
dJ2M1d;ZF;;18.11.2008;5;;b10r10;p15r4;16.01.2009;NE;;FALSE
dJ2M1e;ZF;;18.11.2008;5;;p1r5;p15r4;16.01.2009;NE;;FALSE
dJ2M2;ZF;;04.09.2009;0;;p10r8;o7r5;18.09.2009;NE;bird never existed;FALSE
dJ2M2Bc;ZF;;12.12.2008;3;;p4r5;o1r5;;;bird missing, coult not find it in cage 2M2B on 6.2.2009, michael . Declared dead by andreas (13.3);FALSE
dJ2M2c;ZF;;19.11.2008;4;;p2r5;r2y1;10.12.2008;Perished;;FALSE
dJ2M3Bc;ZF;;05.11.2008;4;;b15r5;o5r5;19.12.2008;NE;;FALSE
dJ2M3Bd;ZF;;05.11.2008;4;;b15r5;o5r5;19.12.2008;NE;;FALSE
dJ2O2g;ZF;;06.02.2009;6;;b7r5;g19r2;05.03.2009;NE;;FALSE
dJ2O3a;ZF;;22.02.2009;4;;k8r2;r5s4;03.04.2009;NE;not found in cage on 3.4.09;FALSE
dJ2O3b;ZF;;22.02.2009;4;;k8r2;r5s4;03.04.2009;NE;not found in cage on 3.4.09;FALSE
dJ2O3c;ZF;;22.02.2009;4;;k8r2;r5s4;03.04.2009;NE;not found in cage on 3.4.09;FALSE
dJ2O3f;ZF;;21.08.2009;5;;purple022;g17r8;12.09.2009;NE;;FALSE
dJ2O4a;ZF;F;08.02.2009;5;;y12red;p12r4;09.11.2009;NE;bird is missing on june 15, 2009;FALSE
dJ2O4b;ZF;;08.02.2009;5;;y12red;p12r4;13.03.2009;NE;;FALSE
dJ2O4c;ZF;;19.12.2008;6;;y12red;p12r4;06.02.2009;NE;;FALSE
dJ2O4ca;ZF;;08.02.2009;5;;y12red;p12r4;13.03.2009;NE;;FALSE
dJ2O4d;ZF;;08.02.2009;5;;y12red;p12r4;13.03.2009;NE;;FALSE
dJ2O4e;ZF;;08.02.2009;5;;y12red;p12r4;05.03.2009;NE;;FALSE
dJ2U1d;ZF;;15.09.2009;3;;p14k;r5s4;27.09.2009;NE;;FALSE
dJ2U2Bf;ZF;;30.01.2009;5;;b3r5;o7r5;05.03.2009;NE;;FALSE
dJ2U4a;ZF;;13.03.2009;2;;b6r5;r5y18;;NE;;FALSE
dJAd;BF;;28.10.2008;7;;;;24.11.2008;NE;;FALSE
dJAe;BF;;28.10.2008;7;;;;24.11.2008;NE;;FALSE
dJAf;BF;;28.10.2008;7;;;;24.11.2008;NE;;FALSE
dJAg;BF;;28.10.2008;7;;;;24.11.2008;NE;;FALSE
dJAh;BF;;28.10.2008;7;;;;24.11.2008;NE;;FALSE
dJAi;BF;;28.10.2008;7;;;;24.11.2008;NE;;FALSE
dJFJ2e;ZF;;21.08.2009;4;;k13r2;o2r5;08.09.2009;Perished;used to be JU2e;FALSE
dJFJ5b;ZF;;25.04.2009;2;;r7s5;o6r7;12.05.2009;NE;;FALSE
dJFJ5c;ZF;;25.04.2009;2;;r7s5;o6r7;12.05.2009;NE;;FALSE
dJFJ5d;ZF;;25.04.2009;2;;r7s5;o6r7;12.05.2009;NE;;FALSE
dJM1a;ZF;;14.05.2008;5;;r2s6;r2y1;13.06.2008;NE;;FALSE
dJM1Bi;ZF;;28.09.2007;2;;b13g-red11;s11p-yellow8;19.10.2007;NE;;FALSE
dJM1d;ZF;;04.04.2008;2;;r2s6;r2y1;;;;FALSE
dJM1dd;ZF;;02.10.2009;3;;b14r4;o19r5;28.10.2009;NE;bird had lost almost all of its feathers - probably a white female;FALSE
dJM1e;ZF;;14.05.2008;5;;r2s6;r2y1;20.06.2008;Perished;;FALSE
dJM1f;ZF;;30.06.2008;5;;r2s6;r2y1;15.08.2008;NE;;FALSE
dJM2Ba;ZF;;02.01.2007;2;;s18o;orange16;31.01.2007;NE;Malformed feet.;FALSE
dJM2Bb;ZF;;02.01.2007;2;;s18o;orange16;29.01.2007;NE;malformed feet.;FALSE
dJM2Bc;ZF;M;24.11.2007;5;;g7r1;orange16;20.01.2008;NE;;FALSE
dJM3b;ZF;;01.10.2007;2;;y16p-s2;o12o-r12k;19.10.2007;NE;;FALSE
dJM3Ba;ZF;;20.11.2006;3;;yellow14;green16;22.12.2006;NE;;FALSE
djM3Ba(24.4.2008);ZF;;17.04.2008;1;;yellow10;o9o10;24.04.2008;;;FALSE
djM3Bb(24.4.2008);ZF;;17.04.2008;1;;yellow10;o9o10;24.04.2008;;;FALSE
dJM3Bc;ZF;;04.05.2008;5;;yellow10;o9o10;20.06.2008;NE;;FALSE
dJM3Bd;ZF;;09.03.2008;3;;yellow10;o9o10;;;;FALSE
dJM3Be;ZF;;04.05.2008;5;;yellow10;o9o10;;;;FALSE
dJM3c;ZF;;04.07.2007;3;;y16p-s2;o12o-r12k;04.07.2007;NE;;FALSE
dJM3d;ZF;;15.05.2006;2;;red16;green12;25.05.2006;NE;Dead in the cage.;FALSE
dJM3e;ZF;;04.07.2007;3;;y16p-s2;o12o-r12k;04.07.2007;NE;;FALSE
dJM4a;ZF;;02.06.2006;0;;silver2;p6k-y8;09.06.2006;NE;;FALSE
dJM4Bg;ZF;;21.11.2006;6;;s19o;green10;22.12.2006;NE;;FALSE
dJM4c;ZF;;29.06.2009;3;;o1r1;r2y1;;;;FALSE
dJM4f;ZF;;07.08.2009;5;;o1r1;r2y1;12.09.2009;NE;;FALSE
dJM5a;ZF;;25.04.2009;2;;r7s5;o6r7;14.05.2009;NE;;FALSE
dJM5Bf;ZF;;11.02.2008;3;;g5r1;purple13;;;;FALSE
dJM5c;ZF;;13.02.2008;4;;g9r1;b4p-red11;;;;FALSE
dJM5d;ZF;;13.02.2008;4;;g9r1;b4p-red11;;;;FALSE
dJM6d;ZF;;03.10.2007;3;;r6p-r9k;red5;22.11.2007;NE;;FALSE
dJM6e;ZF;;03.10.2007;3;;r6p-r9k;red5;27.10.2007;NE;;FALSE
dJM6f;ZF;;25.06.2008;4;;silver15;o8p-y8;;;;FALSE
dJM7a;ZF;;17.11.2006;0;;orange3;red5;30.11.2006;NE;dead in nest;FALSE
dJM7b;ZF;;17.11.2006;0;;orange3;red5;30.11.2006;NE;dead in nest;FALSE
dJM7Ba;ZF;;01.06.2008;3;;r3s3;k12r2;13.06.2008;NE;;FALSE
dJM7Bf;ZF;;01.06.2008;6;;r3s3;k12r2;23.06.2008;NE;;FALSE
dJM7d;ZF;F;19.08.2009;3;;r011;o8r5;06.11.2009;NE;;FALSE
dJM7e;ZF;F;19.08.2009;3;;r011;o8r5;06.11.2009;NE;;FALSE
dJO1a;ZF;;06.12.2009;0;O1;r6s5;o6r7;17.12.2009;NE;;FALSE
dJO1f;ZF;;24.03.2006;0;;purple20;purple13;28.04.2006;NE;;FALSE
dJO2e;ZF;;07.11.2007;4;;yellow1;green12;19.06.2008;NE;;FALSE
dJO3a;ZF;;16.02.2008;0;;p9r1;g7r2;22.02.2008;NE;;FALSE
dJO3c;ZF;;13.06.2006;0;;red14;red2;16.06.2006;NE;;FALSE
dJO3e;ZF;;13.06.2006;2;;red14;red2;16.06.2006;NE;;FALSE
dJO3f;ZF;;30.05.2009;4;;r5y11;p15r5;10.07.2009;NE;;FALSE
dJO4aa;ZF;;23.10.2008;2;;b7r3;p20r3;01.11.2008;NE;;FALSE
dJO4Ba;ZF;;06.05.2008;0;;o19r2;r2s20;;;;FALSE
dJO4Bb;ZF;;19.07.2008;0;;o19r2;r2s20;13.08.2008;NE;;FALSE
dJO4bc;ZF;;23.10.2008;2;;b7r3;p20r3;01.11.2008;NE;;FALSE
dJO5a;ZF;;11.05.2006;0;;r12k-ch900;g4k;19.05.2005;NE;;FALSE
dJO5aa;ZF;;10.09.2009;1;;o8r8;k5r2;18.09.2009;NE;bird never existed;FALSE
dJO5b;ZF;;22.09.2006;1;;r12k-ch900;g4k;27.09.2006;NE;;FALSE
dJO5ba;ZF;;10.09.2009;1;;o8r8;k5r2;18.09.2009;NE;bird never existed;FALSE
dJO6a;ZF;;10.07.2009;1;;b7r7;r6s10;;;;FALSE
dJO6e;ZF;;15.09.2009;4;;b7r7;r6s10;01.11.2009;NE;Not found in cage on 01.Nov.2009, presumed to be dead. - janie;FALSE
dJO7b;ZF;;09.09.2009;3;;purple050;o18r7;18.09.2009;NE;died;FALSE
dJO7c;ZF;;22.06.2009;5;;b6r5;r7y4;29.06.2009;NE;;FALSE
dJO7ca;ZF;;09.09.2009;3;;purple050;o18r7;18.09.2009;NE;bird died.;FALSE
dJO7d;ZF;;22.06.2009;5;;b6r5;r7y4;29.06.2009;NE;;FALSE
dJO7da;ZF;;09.09.2009;3;;purple050;o18r7;18.09.2009;NE;bird never existed;FALSE
dJO7e;ZF;;22.06.2009;5;;b6r5;r7y4;29.06.2009;NE;;FALSE
DJsubsong;ZF;M;27.05.2007;3;;goldch900;purple17;17.07.2007;End of Exp.;;FALSE
DJsubsong2;ZF;M;11.06.2007;3;;yellow1;green12;28.07.2007;Perished;;FALSE
dJU1c;ZF;;29.05.2008;3;;p16p-r11;green10;13.06.2008;NE;;FALSE
dJU1d;ZF;;07.07.2008;3;;p16p-r11;green10;13.08.2008;NE;;FALSE
dJU1f;ZF;;06.01.2009;4;;red11;b7br-b3k;11.02.2009;NE;;FALSE
dJU1fa;ZF;;17.10.2008;5;;red11;b7br-b3k;01.11.2008;NE;;FALSE
dJU1g;ZF;;06.01.2009;4;;red11;b7br-b3k;25.06.2009;NE;bird is missing, could not find it in cage U1 on 6.2.2009, michael. Not found, presumed dead. (-janie, 25.june.2009);FALSE
dJU2Ba;ZF;;19.12.2008;0;;yellow20;o6r4;;;;FALSE
dJU2Bc;ZF;;30.06.2007;1;;r3p-r19o;r16o-r11;06.07.2007;NE;;FALSE
dJU2c;ZF;;18.05.2009;3;;k13r2;o2r5;30.05.2009;NE;bird probably never existed;FALSE
dJU2c2;ZF;;01.07.2009;3;;k13r2;o2r5;17.07.2009;;;FALSE
dJU2d;ZF;;09.06.2008;3;;b14r3;r1y17;11.08.2008;NE;;FALSE
dJU2fa;ZF;;26.09.2008;0;;b14r3;r1y17;01.11.2008;NE;;FALSE
dJU3Ba;ZF;;16.04.2008;5;;r3p-r19o;s11p-yellow8;28.04.2008;NE;found dead on floor;FALSE
dJU3Bb;ZF;;16.04.2008;5;;r3p-r19o;s11p-yellow8;28.04.2008;NE;found dead on floor;FALSE
dJU3Bc;ZF;;16.04.2008;5;;r3p-r19o;s11p-yellow8;28.04.2008;NE;found dead on floor;FALSE
dJU3Bd;ZF;;11.06.2007;4;;b11o-p11k;g9b-o4k;06.07.2007;NE;;FALSE
dJU3Bd2;ZF;;16.04.2008;5;;r3p-r19o;s11p-yellow8;28.04.2008;NE;found dead on floor;FALSE
dJU3Be;ZF;;16.04.2008;5;;r3p-r19o;s11p-yellow8;28.04.2008;NE;found dead on floor;FALSE
dJU3c;ZF;;04.03.2007;1;;silverblack;blue3;10.03.2007;NE;;FALSE
dJU3d;ZF;;04.03.2007;0;;silverblack;blue3;10.03.2007;NE;;FALSE
dJU3e;ZF;;04.03.2007;0;;silverblack;blue3;10.03.2007;NE;;FALSE
dJU3f;ZF;;18.09.2006;3;;red11;purple8;19.10.2006;NE;;FALSE
dJU3k;ZF;;28.08.2007;0;;s17o;green10;20.09.2007;NE;;FALSE
dJU4b;ZF;;25.06.2007;3;;p14k-p2;purple8;06.07.2007;NE;;FALSE
dJU5a;ZF;;08.12.2006;3;;yellow20;blue2;15.12.2006;NE;;FALSE
dJU5b;ZF;;20.07.2007;0;;s2b-y8;r8p-s19o;;;;FALSE
dJU5Be;ZF;;30.12.2007;4;;g6r1;p14b-r16;;;;FALSE
dJU5d;ZF;;15.07.2009;3;;p2s2;b7br-b3k;;;this bird never existed;FALSE
dJU6a;ZF;;11.04.2007;3;;o20o-ch900;r12o-o4k;08.05.2007;NE;Moritz: was baddly picked by father - separated from parents.;FALSE
dJU6b;ZF;;01.07.2009;2;;p3r6;r5y18;17.07.2009;NE;;FALSE
dJU6Be;ZF;;26.06.2008;7;;g12r2;p10r2;17.10.2008;NE;;FALSE
dJU6c;ZF;M;14.07.2006;2;;y13k-s17;p19k-o3;01.09.2006;NE;;FALSE
dJU6e;ZF;;11.04.2009;4;;y16p-s2;o8r5;;;;FALSE
dJU7a;ZF;;15.07.2009;1;;r5y14;r7y1;;;;FALSE
dJU7c;ZF;;02.10.2007;2;;r12p-y7o;o8p-y8;10.10.2007;NE;;FALSE
dJZZ2b;ZF;;10.10.2007;2;;g1o-g14k;g15p-purple20;12.11.2007;NE;;FALSE
dneJ2O2e;ZF;;;4;;;;;;;FALSE
dneJM2Bd;ZF;;;4;;;;;;;FALSE
dummy;ZF;;01.07.2009;4;;o11r8;o19r5;;;;FALSE
dummy2;ZF;;30.07.2009;0;;o12r8;r7y2;;;;FALSE
g10o-g14k;ZF;M;21.07.2006;4;;g14k;orange16;22.03.2007;End of Exp.;;FALSE
g10p-s19o;ZF;F;21.11.2006;2;;s19o;green10;16.02.2007;Given away;Given Away to Marianne;FALSE
g10r1;ZF;M;18.07.2007;5;;s17o;green10;26.10.2007;End of Exp.;;FALSE
g10r10;ZF;M;19.08.2009;3;;r011;o8r5;10.12.2009;End of Exp.;;FALSE
g10r2;ZF;M;28.09.2007;2;;b13g-red11;s11p-yellow8;29.05.2008;End of Exp.;;FALSE
g10r3;ZF;M;12.02.2008;5;;o20o;r16o-r11;26.05.2008;End of Exp.;;FALSE
g10r4;ZF;M;25.06.2008;4;;silver15;o8p-y8;09.12.2008;End of Exp.;;FALSE
g10r5;ZF;F;07.07.2008;7;;g8r1;k10r2;20.03.2009;NE;possibly 10 days of uncertainty - slipped through into next cage;FALSE
g10r7;ZF;M;05.12.2008;5;;p5r5;r2s18;25.03.2009;End of Exp.;;FALSE
g10r8;ZF;M;28.03.2009;3;;r6y10;b15r6;09.06.2009;End of Exp.;Reserved for Patrick;FALSE
g11o-g14k;ZF;M;21.07.2006;4;;g14k;orange16;06.12.2006;End of Exp.;;FALSE
g11p-s19o;ZF;M;21.11.2006;2;;s19o;green10;19.01.2007;End of Exp.;;FALSE
g11r1;ZF;F;18.07.2007;5;;s17o;green10;01.11.2007;Given away;Given away to Johanna;FALSE
g11r2;ZF;M;28.09.2007;0;;yellow20;blue2;14.12.2007;End of Exp.;;FALSE
g11r3;ZF;M;05.02.2008;4;;o1r1;r7g-yellow8;16.05.2008;End of Exp.;tried to record from auditory neurons in ovoidalis. Didn't find any. Did burns.;FALSE
g11r4;ZF;M;25.06.2008;4;;silver15;o8p-y8;10.12.2008;Surgery;;FALSE
g11r5;ZF;F;07.08.2008;4;;b14r3;r1y17;09.01.2009;NE;;FALSE
g11r6;ZF;F;16.11.2008;3;;b11r5;g18k-y6;20.03.2009;NE;;FALSE
g11r7;ZF;F;19.12.2008;2;;g13p-purple20;p14b-r16;20.03.2009;NE;;FALSE
g11r8;ZF;F;27.03.2009;3;;g4r6;r6s4;31.07.2009;End of Exp.;;FALSE
g12k-y8;ZF;F;14.11.2005;0;;yellow8;;15.11.2006;End of Exp.;Used as show girl.;FALSE
g12o-g14k;ZF;M;21.07.2006;4;;g14k;orange16;16.11.2006;End of Exp.;;FALSE
g12p-s19o;ZF;M;21.11.2006;6;;s19o;green10;02.03.2007;End of Exp.;;FALSE
g12r1;ZF;M;18.07.2007;5;;s17o;green10;23.10.2007;End of Exp.;;FALSE
g12r2;ZF;M;17.11.2007;3;A-UL;y7o-r16;purple16;;;;FALSE
g12r3;ZF;F;05.02.2008;4;;o1r1;r7g-yellow8;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
g12r4;ZF;M;25.06.2008;4;;silver15;o8p-y8;09.12.2008;End of Exp.;;FALSE
g12r5;ZF;F;07.08.2008;4;;b14r3;r1y17;13.11.2008;End of Exp.;;FALSE
g12r6;ZF;M;01.12.2008;5;;g12r2;r8p-s19o;10.02.2009;End of Exp.;;FALSE
g12r7;ZF;M;17.01.2009;5;;b9r5;o8p-y8;21.05.2009;End of Exp.;;FALSE
g12r8;ZF;F;27.03.2009;3;KU;g4r6;r6s4;;;9.11.2009 (AK): didn't find bird in KU;FALSE
g13o-g14k;ZF;F;21.07.2006;4;;g14k;orange16;01.10.2007;NE;;FALSE
g13p-purple20;ZF;M;31.12.2006;3;;purple20;purple13;18.06.2009;End of Exp.;reserved for michael;FALSE
g13r1;ZF;F;01.07.2007;7;;orange3;r9p-s19o;01.11.2007;Given away;Given away to Johanna;FALSE
g13r2;ZF;F;11.10.2007;5;;s17o;green10;03.09.2008;NE;;FALSE
g13r3;ZF;F;05.02.2008;4;;o1r1;r7g-yellow8;08.05.2008;End of Exp.;;FALSE
g13r4;ZF;M;26.06.2008;7;;g12r2;p10r2;21.10.2008;End of Exp.;;FALSE
g13r5;ZF;M;07.08.2008;4;;b14r3;r1y17;10.09.2008;End of Exp.;;FALSE
g13r6;ZF;F;01.12.2008;5;;g12r2;r8p-s19o;20.03.2009;NE;;FALSE
g13r7;ZF;F;21.12.2008;3;;s17o;r7g-yellow8;20.03.2009;NE;;FALSE
g13r8;ZF;M;17.09.2008;3;A-UL;s3k-y8;p10r2;;;reringed : formerly know as r5s14. michael, 22. juni 2009;FALSE
g14k;ZF;M;;0;;;;01.06.2007;End of Exp.;good song.;FALSE
g14o-g14k;ZF;M;21.07.2006;4;;g14k;orange16;18.12.2006;End of Exp.;;FALSE
g14p-p20;ZF;F;31.12.2006;3;;purple20;purple13;25.04.2007;End of Exp.;;FALSE
g14r1;ZF;M;01.07.2007;7;;orange3;r9p-s19o;24.09.2007;End of Exp.;;FALSE
g14r10;ZF;F;21.08.2009;4;;purple022;g17r8;06.11.2009;NE;;FALSE
g14r2;ZF;F;11.10.2007;5;;s17o;green10;27.02.2008;Perished;;FALSE
g14r3;ZF;F;05.02.2008;4;;o1r1;r7g-yellow8;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
g14r4;ZF;M;26.06.2008;7;;g12r2;p10r2;03.11.2009;End of Exp.;Georg, Reserved by Claude for HVC Stim.;FALSE
g14r5;ZF;M;10.10.2008;4;;y16p-s2;blue2;03.06.2009;End of Exp.;reserved for michael;FALSE
g14r6;ZF;M;01.12.2008;5;;g12r2;r8p-s19o;20.02.2009;End of Exp.;;FALSE
g14r7;ZF;;21.12.2008;3;;s17o;r7g-yellow8;20.03.2009;NE;;FALSE
g14r8;ZF;M;27.04.2009;3;;b16r6;o13r5;16.07.2009;End of Exp.;;FALSE
g15o-r14;ZF;M;26.07.2006;0;;red14;red2;06.10.2006;End of Exp.;;FALSE
g15p-purple20;ZF;F;31.12.2006;3;;purple20;purple13;21.08.2008;NE;euthanized;FALSE
g15r1;ZF;M;01.07.2007;7;;orange3;r9p-s19o;18.10.2007;End of Exp.;;FALSE
g15r10;ZF;M;21.08.2009;4;;purple022;g17r8;15.01.2010;End of Exp.;Daniele;TRUE
g15r2;ZF;M;11.10.2007;5;;s17o;green10;24.04.2008;End of Exp.;;FALSE
g15r3;ZF;M;06.03.2008;3;;g8r2;b11r2;17.06.2008;End of Exp.;;FALSE
g15r4;ZF;M;09.06.2008;3;;b14r3;r1y17;14.10.2008;End of Exp.;;FALSE
g15r5;ZF;M;09.10.2008;7;;;;20.01.2009;End of Exp.;origin of bird unclear, age approximately right;FALSE
g15r6;ZF;M;01.12.2008;5;;g12r2;r8p-s19o;05.05.2009;Surgery;;FALSE
g15r7;ZF;;21.12.2008;3;;s17o;r7g-yellow8;20.03.2009;NE;;FALSE
g15r8;ZF;F;27.04.2009;3;2M4;b16r6;o13r5;;;;FALSE
g16k;ZF;F;;0;;;;01.11.2007;Given away;Given away to Johanna;FALSE
g16o-r14;ZF;F;26.07.2006;0;;red14;red2;06.10.2006;NE;;FALSE
g16p-yellow1;ZF;M;12.01.2007;3;;yellow1;p19k-o3;09.05.2007;;end of experiment;FALSE
g16r1;ZF;M;01.07.2007;7;;orange3;r9p-s19o;15.10.2007;End of Exp.;;FALSE
g16r10;ZF;M;21.08.2009;4;;purple022;g17r8;08.12.2009;End of Exp.;Daniele;TRUE
g16r2;ZF;M;11.10.2007;5;;s17o;green10;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
g16r3;ZF;M;06.03.2008;3;;g8r2;b11r2;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
g16r4;ZF;F;09.06.2008;3;;b14r3;r1y17;21.08.2008;NE;euthanized;FALSE
g16r5;ZF;F;10.10.2008;4;;y16p-s2;blue2;09.01.2009;NE;;FALSE
g16r6;ZF;M;01.12.2008;5;;g12r2;r8p-s19o;14.02.2009;End of Exp.;;FALSE
g16r7;ZF;F;20.12.2008;7;;p2r5;r2y1;20.03.2009;NE;;FALSE
g16r8;ZF;F;27.04.2009;1;;b16r6;o13r5;06.11.2009;NE;;FALSE
g17k-p2;ZF;M;02.01.2006;0;;purple2;;14.07.2006;End of Exp.;;FALSE
g17o-r14;ZF;M;26.07.2006;0;;red14;red2;11.10.2006;End of Exp.;;FALSE
g17p-yellow1;ZF;F;12.01.2007;3;;yellow1;p19k-o3;12.06.2007;Surgery;;FALSE
g17r1;ZF;F;01.07.2007;7;;orange3;r9p-s19o;01.11.2007;Given away;Given away to Johanna;FALSE
g17r10;ZF;M;21.08.2009;4;E8;purple022;g17r8;;;;FALSE
g17r2;ZF;M;11.10.2007;5;;s17o;green10;09.06.2008;Given away;Reserverd by Claude!!!  Sing A-B-C-C. Given away to Johanna on 09.06.08;FALSE
g17r3;ZF;F;06.03.2008;3;;g8r2;b11r2;21.08.2008;NE;euthanized;FALSE
g17r4;ZF;F;09.06.2008;3;;b14r3;r1y17;21.08.2008;NE;euthanized;FALSE
g17r5;ZF;M;10.10.2008;4;;y16p-s2;blue2;19.02.2009;End of Exp.;;FALSE
g17r6;ZF;F;23.11.2008;3;;p17r2;b13r4;20.03.2009;NE;;FALSE
g17r7;ZF;F;25.12.2008;0;;b7r5;g19r2;20.03.2009;NE;;FALSE
g17r8;ZF;M;09.05.2009;0;KU;b10r5;r2b-o3;;;;FALSE
g18k-y6;ZF;F;05.01.2006;0;;yellow6;;20.03.2009;NE;;FALSE
g18o-r14;ZF;F;26.07.2006;0;;red14;red2;06.10.2006;NE;;FALSE
g18p-yellow1;ZF;;12.01.2007;3;;yellow1;p19k-o3;20.02.2007;End of Exp.;;FALSE
g18r1;ZF;M;01.07.2007;7;;orange3;r9p-s19o;26.12.2007;End of Exp.;;FALSE
g18r10;ZF;M;21.08.2009;4;M7;purple022;g17r8;;;;FALSE
g18r2;ZF;M;11.10.2007;5;;s17o;green10;30.06.2008;End of Exp.;;FALSE
g18r3;ZF;M;09.03.2008;3;;yellow10;o9o10;22.05.2008;End of Exp.;;FALSE
g18r4;ZF;F;09.06.2008;0;;r2s4;y8o-r16;21.08.2008;NE;euthanized;FALSE
g18r5;ZF;M;10.10.2008;4;;y16p-s2;blue2;09.05.2009;End of Exp.;;FALSE
g18r6;ZF;M;23.11.2008;3;;p17r2;b13r4;06.04.2009;End of Exp.;;FALSE
g18r7;ZF;M;20.12.2008;7;;p2r5;r2y1;25.06.2009;NE;Not found in KM on 20 June 2009. - Janie. Not found, presumed dead. (-janie, 25.june.2009);FALSE
g18r8;ZF;M;01.07.2009;4;;b14r4;o19r5;14.09.2009;;Josh;FALSE
g19o-silver2;ZF;M;14.08.2006;2;;silver2;p6k-y8;27.03.2007;End of Exp.;Reserved by Claude.;FALSE
g19p-purple20;ZF;M;31.12.2006;3;;purple20;purple13;04.06.2007;End of Exp.;;FALSE
g19r1;ZF;F;17.07.2007;5;;red16;g18k-y6;01.11.2007;Given away;Given away to Johanna;FALSE
g19r10;ZF;F;26.08.2009;1;;b14r3;r6s13;17.11.2009;End of Exp.;;FALSE
g19r2;ZF;F;27.10.2007;5;KU;b8o-p11k;s13p-yellow8;;;;FALSE
g19r3;ZF;M;09.03.2008;3;;yellow10;o9o10;09.06.2008;Given away;sleeps on his back in your hand! Really cute! Moritz Given away to Johanna on 09.06.08;FALSE
g19r4;ZF;F;17.06.2008;2;;k7r1;r14w-silver17;21.08.2008;NE;euthanized;FALSE
g19r5;BF;;15.09.2008;1;A;v-v10;K-K-K209-15;;;;FALSE
g19r6;ZF;F;23.11.2008;3;;p17r2;b13r4;20.03.2009;NE;;FALSE
g19r7;ZF;M;20.12.2008;7;;p2r5;r2y1;26.05.2009;End of Exp.;;FALSE
g19r8;ZF;M;30.04.2009;0;;;;01.10.2009;NE;Bought from Qualipet on 31 Aug. 2009. Estimated age.;FALSE
g1k;ZF;F;;0;;;;24.07.2007;Given away;Had three times only ONE generation of offspring, Given away to Johanna;FALSE
g1o-g14k;ZF;M;26.03.2006;0;;g14k;orange16;25.07.2008;End of Exp.;;FALSE
g1p-sb;ZF;M;29.03.2007;5;;silverblack;blue3;09.08.2007;Surgery;;FALSE
g1r1;ZF;M;;.;;;;20.09.2007;NE;bought from Qualipet Glattzentrum on 17.07.07. Georg.;FALSE
g1r10;ZF;F;29.08.2009;4;FJ7;r7p1;p13r5;;;isolated female. Alessandro;TRUE
g1r11;ZF;F;08.11.2009;1;KU;o8r8;k5r2;;;;FALSE
g1r2;ZF;F;05.10.2007;4;;g3r1;purple8;11.12.2007;End of Exp.;;FALSE
g1r3;ZF;M;03.03.2008;5;;g13p-purple20;r8p-s19o;02.11.2009;End of Exp.;Right-Cochlear removed by Claude.;FALSE
g1r4;ZF;F;12.03.2008;1;;p16p-r11;green10;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
g1r5;ZF;M;23.07.2008;2;;r3s3;k12r2;14.10.2008;End of Exp.;;FALSE
g1r6;ZF;F;16.11.2008;2;;k2r2;p9r2;;;;FALSE
g1r7;ZF;M;27.12.2008;6;;r5y19;o19r5;02.04.2009;End of Exp.;;FALSE
